form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00811786,500076982,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-07-26,242.98,0.00,Bank Fee; IE only acccount,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500078734,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-08-29,230.40,0.00,Bank Fee; IE only account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500080447,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-09-26,325.20,0.00,Bank Fee; IE only account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500079455,,,IND,,Armstrong,Alice,,,,422 122nd St S,,Tacoma,WA,984443618,,,2024-09-15,5000.00,0.00,Refund of ActBlue contribution; IE only account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500080451,,,ORG,ARS Media LLC,,,,,,2021 L St NW,Ste 101,Washington,DC,200364914,,,2024-09-27,5000.00,0.00,Communications Consulting; IE only account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500075673,,,ORG,Break Something Inc,,,,,,1380 Monroe St NW,# 409,Washington,DC,200103452,,,2024-07-01,5000.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500076405,,,ORG,Break Something Inc,,,,,,1380 Monroe St NW,# 409,Washington,DC,200103452,,,2024-07-02,400.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500076407,,,ORG,Break Something Inc,,,,,,1380 Monroe St NW,# 409,Washington,DC,200103452,,,2024-07-05,5000.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500076408,,,ORG,Break Something Inc,,,,,,1380 Monroe St NW,# 409,Washington,DC,200103452,,,2024-07-09,5000.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500076409,,,ORG,Break Something Inc,,,,,,1380 Monroe St NW,# 409,Washington,DC,200103452,,,2024-07-15,400.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500076410,,,ORG,Break Something Inc,,,,,,1380 Monroe St NW,# 409,Washington,DC,200103452,,,2024-07-15,5094.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
