form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00746073,500031340,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-07-01,24.37,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500031341,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-07-01,79.99,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500032259,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-07-29,24.37,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500032257,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-07-30,79.99,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500033089,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-08-28,24.37,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500033088,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-08-29,79.99,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500034722,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-09-27,79.99,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500034723,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-09-30,24.37,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500034724,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-09-30,79.99,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500032253,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-07-26,115.00,0.00,Bank Fees; IE only account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500033085,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-08-29,151.00,0.00,Bank Fees; IE only account,,,,,,,,,,,,,,,,,,,,
