form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00172296,27500570,,,COM,VA VICTORY 2024,,,,,,1490-5A Quarterpath Rd #272,,Williamsburg,VA,23185,,,2024-09-11,1000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB23,C00172296,27500586,,,COM,VA VICTORY 2024,,,,,,1490-5A Quarterpath Rd #272,,Williamsburg,VA,23185,,,2024-09-11,-1000.00,0.00,Void - VA VICTORY 2024,011,,,,,,,,,,,,,,,,,,,Void - VA VICTORY 2024
SB23,C00172296,27500587,,,COM,VA VICTORY 2024,,,,,,1490-5A Quarterpath Rd #272,,Williamsburg,VA,23185,,,2024-09-11,1000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB23,C00172296,27514703,,,CCM,Friends of Jim Clyburn,,,,,,"499 South Capitol Street, SW",Suite 422,Washington,DC,20003,G2024,,2024-09-24,1000.00,0.00,Contribution,011,,,,Clyburn,James,,,,H,SC,06,,,,,,,,Contribution
SB23,C00172296,27524774,,,COM,Casey Keystone Victory Fund,,,,,,"750 1st Street, NE",Suite 1070,WASHINGTON,DC,20002,,,2024-09-25,1000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB23,C00172296,27524784,,,CCM,Montanans For Tester,,,,,,PO Box 1135,,Helena,MT,59624,G2024,,2024-09-25,1000.00,0.00,Contribution,011,C00412304,Montanans For Tester,S6MT00162,Tester,Jon,,Sen.,,S,MT,,,,,,,,,Contribution
SB23,C00172296,27539593,,,CCM,Gallego For Arizona,,,,,,PO Box 1710,,Phoenix,AZ,85001,G2024,,2024-09-21,1970.76,0.00,In Kind Contribution; endorsement event,011,C00558627,Gallego For Arizona,S4AZ00139,Gallego,Ruben,,Rep.,,S,AZ,,,,,,,,,In Kind Contribution; endorsement event
SB23,C00172296,27539603,,,CCM,Gallego For Arizona,,,,,,PO Box 1710,,Phoenix,AZ,85001,G2024,,2024-09-05,211.70,0.00,In Kind Contribution; endorsement video,011,C00558627,Gallego For Arizona,S4AZ00139,Gallego,Ruben,,Rep.,,S,AZ,,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27539606,,,CCM,Montanans For Tester,,,,,,PO Box 1135,,Helena,MT,59624,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00412304,Montanans For Tester,S6MT00162,Tester,Jon,,Sen.,,S,MT,,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27539608,,,CCM,Colin Allred For Senate,,,,,,PO Box 601631,,Dallas,TX,75360,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00839597,Colin Allred For Senate,S4TX00722,Allred,Colin,,Rep.,,S,TX,,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27540079,,,CCM,Elissa Slotkin For Michigan,,,,,,P.O. Box 4145,,East Lansing,MI,48826,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00834218,Elissa Slotkin For Michigan,S4MI00470,Slotkin,Elissa,,Rep.,,S,MI,,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27540080,,,CCM,Bob Casey for Senate,,,,,,c/o CFC-Campaign Consultants,"750 First Street, NE--Suite 1070",Washington,DC,20002,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,,,,Casey,Bob,,,,S,PA,,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27540083,,,CCM,Debbie For Florida,,,,,,PO Box 432250,,South Miami,FL,33243,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00848648,Debbie For Florida,S4FL00611,Mucarsel-Powell,Debbie,,Ms.,,S,FL,,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27540085,,,CCM,Susie Lee For Congress,,,,,,5130 S Fort Apache Rd,Ste 215-382,Las Vegas,NV,89148,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00655613,Susie Lee For Congress,H6NV04020,Lee,Susie,,Rep.,,H,NV,03,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27540088,,,CCM,Cartwright For Congress,,,,,,PO Box 414,,Scranton,PA,18501,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00509968,Cartwright For Congress,H2PA17079,Cartwright,Matt,,Rep.,,H,PA,08,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548110,,,CCM,Cooke For Congress,,,,,,P.O. Box 1846,,Eau Claire,WI,54702,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00844993,Cooke For Congress,H4WI03169,Cooke,Rebecca,,Ms.,,H,WI,03,,,,,,,,In Kind Contribution; endorsement video
