form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00827295,500741796,,,ORG,Bowman for Congress,,,,,,81 Pondfield Rd,Ste D351,Bronxville,NY,107083818,,,2024-09-30,31601.05,0.00,List Acquisition Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741794,,,ORG,Congressional Black Caucus,,,,,,413 New Jersey Ave SE,,Washington,DC,200034007,,,2024-09-13,400.00,0.00,Campaign Event Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741795,,,ORG,Congressional Black Caucus,,,,,,413 New Jersey Ave SE,,Washington,DC,200034007,,,2024-09-13,1200.00,0.00,Campaign Event Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741798,,,ORG,Hilton,,,,,,7930 Jones Branch Dr,,Mclean,VA,221023388,,,2024-08-26,3158.85,0.00,Hotel Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741801,,,ORG,Uber,,,,,,1725 Thrid St,,San Francisco,CA,94158,,,2024-09-19,17.23,0.00,Transportation Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741802,,,ORG,Uber,,,,,,1725 Thrid St,,San Francisco,CA,94158,,,2024-09-19,21.32,0.00,Transportation Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741803,,,ORG,Uber,,,,,,1725 Thrid St,,San Francisco,CA,94158,,,2024-09-19,71.06,0.00,Transportation Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741804,,,ORG,Uber,,,,,,1725 Thrid St,,San Francisco,CA,94158,,,2024-09-19,43.93,0.00,Transportation Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741805,,,ORG,Uber,,,,,,1725 Thrid St,,San Francisco,CA,94158,,,2024-09-23,23.31,0.00,Transportation Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741806,,,ORG,Uber,,,,,,1725 Thrid St,,San Francisco,CA,94158,,,2024-09-23,27.17,0.00,Transportation Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741807,,,ORG,Uber,,,,,,1725 Thrid St,,San Francisco,CA,94158,,,2024-09-23,32.29,0.00,Transportation Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741809,,,ORG,Uber,,,,,,1725 Thrid St,,San Francisco,CA,94158,,,2024-09-23,4.38,0.00,Meal Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741812,,,ORG,Weinberg Partners Ltd,,,,,,9205 W Russell Rd,Ste 240,Las Vegas,NV,891481425,,,2024-07-03,420.00,0.00,Accounting & Compliance Reporting Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741813,,,ORG,Weinberg Partners Ltd,,,,,,9205 W Russell Rd,Ste 240,Las Vegas,NV,891481425,,,2024-09-06,720.00,0.00,Accounting & Compliance Reporting Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500741814,,,ORG,Weinberg Partners Ltd,,,,,,9205 W Russell Rd,Ste 240,Las Vegas,NV,891481425,,,2024-09-06,920.00,0.00,Accounting & Compliance Reporting Expense,,,,,,,,,,,,,,,,,,,,
