form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00452763,SB21B.4329,,,ORG,American Airlines,,,,,,1 Skyview Drive,,Ft Worth,TX,76155,G2024,,2024-10-03,272.48,,Travel,,C00452763,New South Leadership PAC,,,,,,,,,,,,,,,,,
SB21B,C00452763,SB21B.4328,,,ORG,Nexus Strategies Inc,,,,,,301 Hillsborough St Ste 950,,Raleigh,NC,27603,G2024,,2024-10-15,500.00,,Compliance Consulting,,C00452763,New South Leadership PAC,,,,,,,,,,,,,,,,,
SB21B,C00452763,SB21B.4319,,,ORG,Uber Technologies,,,,,,1725 Third Street,,San Francisco,CA,94158,G2024,,2024-10-01,24.95,,Meals,,C00452763,New South Leadership PAC,,,,,,,,,,,,,,,,,
SB21B,C00452763,SB21B.4320,,,ORG,Uber Technologies,,,,,,1725 Third Street,,San Francisco,CA,94158,G2024,,2024-10-07,50.91,,Transportation,,C00452763,New South Leadership PAC,,,,,,,,,,,,,,,,,
SB21B,C00452763,SB21B.4321,,,ORG,Uber Technologies,,,,,,1725 Third Street,,San Francisco,CA,94158,G2024,,2024-10-07,9.88,,Transportation,,C00452763,New South Leadership PAC,,,,,,,,,,,,,,,,,
SB21B,C00452763,SB21B.4322,,,ORG,Uber Technologies,,,,,,1725 Third Street,,San Francisco,CA,94158,G2024,,2024-10-10,16.93,,Transportation,,C00452763,New South Leadership PAC,,,,,,,,,,,,,,,,,
SB21B,C00452763,SB21B.4323,,,ORG,Uber Technologies,,,,,,1725 Third Street,,San Francisco,CA,94158,G2024,,2024-10-15,11.87,,Transportation,,C00452763,New South Leadership PAC,,,,,,,,,,,,,,,,,
SB21B,C00452763,SB21B.4324,,,ORG,Uber Technologies,,,,,,1725 Third Street,,San Francisco,CA,94158,G2024,,2024-10-15,148.46,,Transportation,,C00452763,New South Leadership PAC,,,,,,,,,,,,,,,,,
SB21B,C00452763,SB21B.4325,,,ORG,Uber Technologies,,,,,,1725 Third Street,,San Francisco,CA,94158,G2024,,2024-10-15,3.00,,Transportation,,C00452763,New South Leadership PAC,,,,,,,,,,,,,,,,,
SB21B,C00452763,SB21B.4326,,,ORG,Uber Technologies,,,,,,1725 Third Street,,San Francisco,CA,94158,G2024,,2024-10-15,10.00,,Transportation,,C00452763,New South Leadership PAC,,,,,,,,,,,,,,,,,
SB21B,C00452763,SB21B.4327,,,ORG,Uber Technologies,,,,,,1725 Third Street,,San Francisco,CA,94158,G2024,,2024-10-15,113.35,,Transportation,,C00452763,New South Leadership PAC,,,,,,,,,,,,,,,,,
