form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00889493,SB21B.I464385,,,ORG,BROGHAMER CONSULTING LLC,,,,,,502 MONROE STREET,,NEWPORT,KY,41071,,,2024-10-07,866.25,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464402,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-08,10.41,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464403,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-09,591.35,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464404,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-10,889.37,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464405,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-11,4154.97,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464420,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-15,9.98,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464422,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-16,104.10,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464381,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-01,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464423,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-15,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464424,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-15,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464382,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-01,1918849.27,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464410,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-15,616887.73,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464409,,,ORG,RALLY DIGITAL,,,,,,507 SOUTH 2ND STREET,STE. 175,MILWAUKEE,WI,53204,,,2024-10-15,230000.00,,ADVERTISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464390,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-08,20.51,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464391,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-09,26.28,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464401,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-10,38.96,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464406,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-11,182.09,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464419,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-15,0.44,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I464421,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-16,205.08,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
