form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00747121,E1113717253F3475C953,,,ORG,"HULU, LLC",,,,,,500 SOUTH BUENA VISTA ST,,BURBANK,CA,915210001,G2024,,2024-10-11,15000.00,,526212.76,MEDIA PLACEMENT/VIDEO ADS,,,O,S4TX00722,ALLRED,COLIN,,,,S,,TX,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,EBACAAA8372FE461E872,,,ORG,"HULU, LLC",,,,,,500 SOUTH BUENA VISTA ST,,BURBANK,CA,915210001,G2024,,2024-10-11,10000.00,,35098.19,MEDIA PLACEMENT/VIDEO ADS,,,O,S8NV00156,ROSEN,JACKY,,,,S,,NV,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E0437FC3D55D249A3B00,,,ORG,"HULU, LLC",,,,,,500 SOUTH BUENA VISTA ST,,BURBANK,CA,915210001,G2024,,2024-10-11,14999.49,,47772.49,MEDIA PLACEMENT/VIDEO ADS,,,O,S4FL00611,DEBBIE,MUCARSEL-POWELL,,,,S,,FL,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E6196A68A026C40EAB9B,,,ORG,"HULU, LLC",,,,,,500 SOUTH BUENA VISTA ST,,BURBANK,CA,915210001,G2024,,2024-10-11,15000.00,,46389.82,MEDIA PLACEMENT/VIDEO ADS,,,O,S6MT00162,TESTER,R.,JON,,,S,,MT,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E9BC27C4BD5F34AFDB29,,,ORG,"HULU, LLC",,,,,,500 SOUTH BUENA VISTA ST,,BURBANK,CA,915210001,G2024,,2024-10-11,19998.52,,58003.76,MEDIA PLACEMENT/VIDEO ADS,,,O,S6OH00163,BROWN,SHERROD,,,,S,,OH,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E2869982EA91C4F63B5B,,,ORG,"HULU, LLC",,,,,,500 SOUTH BUENA VISTA ST,,BURBANK,CA,915210001,G2024,,2024-10-11,19999.54,,52671.07,MEDIA PLACEMENT/VIDEO ADS,,,O,S2WI00219,BALDWIN,TAMMY,,,,S,,WI,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E844401F965E94097AAC,,,ORG,"HULU, LLC",,,,,,500 SOUTH BUENA VISTA ST,,BURBANK,CA,915210001,G2024,,2024-10-11,10000.00,,55321.72,MEDIA PLACEMENT/VIDEO ADS,,,O,S4AZ00139,GALLEGO,RUBEN,,,,S,,AZ,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,EF9691ED8763C4C37A69,,,ORG,"HULU, LLC",,,,,,500 SOUTH BUENA VISTA ST,,BURBANK,CA,915210001,G2024,,2024-10-11,9999.72,,15724.72,MEDIA PLACEMENT/VIDEO ADS,,,O,S4MD00327,ALSOBROOKS,ANGELA,,,,S,,MD,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,EF9B4A68B3C8943E1A88,,,ORG,"HULU, LLC",,,,,,500 SOUTH BUENA VISTA ST,,BURBANK,CA,915210001,G2024,,2024-10-11,10000.00,,15700.00,MEDIA PLACEMENT/VIDEO ADS,,,O,S4NE00207,OSBORN,DAN,,,,S,,NE,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E48B78FCB22C74AF8AC6,,,ORG,"HULU, LLC",,,,,,500 SOUTH BUENA VISTA ST,,BURBANK,CA,915210001,G2024,,2024-10-11,19999.20,,73884.76,MEDIA PLACEMENT/VIDEO ADS,,,O,S6PA00217,CASEY,ROBERT P.,JR.,,,S,,PA,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E898BA2E762624F8883D,,,ORG,"HULU, LLC",,,,,,500 SOUTH BUENA VISTA ST,,BURBANK,CA,915210001,G2024,,2024-10-11,9999.72,,34991.76,MEDIA PLACEMENT/VIDEO ADS,,,O,S4MI00470,SLOTKIN,ELISSA,,,,S,,MI,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E08796F25BF5D4A28B30,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-14,5262.21,,833118.83,DIGITAL ADS,,,S,S2TX00312,CRUZ,TED,,,,S,,TX,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,EA490B40389DE48A1BB8,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-14,5262.20,,833118.83,DIGITAL ADS,,,O,S4TX00722,ALLRED,COLIN,,,,S,,TX,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,EB29270DB9F294ED3A3D,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,879.70,,59975.54,DIGITAL ADS,,,O,S4AZ00139,GALLEGO,RUBEN,,,,S,,AZ,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,EB75716E986A040F2BFF,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,621.02,,51357.25,DIGITAL ADS,,,O,S4FL00611,DEBBIE,MUCARSEL-POWELL,,,,S,,FL,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E91B2F11FFDC740FF8EB,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,263.33,,48294.58,DIGITAL ADS,,,O,S6MT00162,TESTER,R.,JON,,,S,,MT,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E6200CAC21F88436AA5E,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,263.33,,48294.58,DIGITAL ADS,,,S,S4MT00183,SHEEHY,TIM,,,,S,,MT,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E040B8AB6AF074619832,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,1965.94,,69685.21,DIGITAL ADS,,,S,S4OH00192,MORENO,BERNIE,,,,S,,OH,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E5651C909A5E646C1A07,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,385.20,,40290.12,DIGITAL ADS,,,O,S4MI00470,SLOTKIN,ELISSA,,,,S,,MI,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E701C29430E5443858D0,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,37044.15,,907207.14,DIGITAL ADS,,,O,S4TX00722,ALLRED,COLIN,,,,S,,TX,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E31C7224C97384DF3907,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,338.92,,38561.50,DIGITAL ADS,,,O,S8NV00156,ROSEN,JACKY,,,,S,,NV,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E4B739A32AF854942AED,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,1965.93,,69685.21,DIGITAL ADS,,,O,S6OH00163,BROWN,SHERROD,,,,S,,OH,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E472E2258966942ABA4B,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,2913.07,,72637.15,DIGITAL ADS,,,S,S4WI00256,HOVDE,ERIC,,,,S,,WI,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E5074514B4E654FC4A70,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,249.47,,75278.69,DIGITAL ADS,,,S,S2PA00661,MCCORMICK,DAVE,,,,S,,PA,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E07892F1799274B14B97,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,37044.16,,907207.14,DIGITAL ADS,,,S,S2TX00312,CRUZ,TED,,,,S,,TX,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E42EBE54AF40046C6853,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,2913.07,,72637.15,DIGITAL ADS,,,O,S2WI00219,BALDWIN,TAMMY,,,,S,,WI,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,EE8C77B1DA02C4434910,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,385.21,,40290.12,DIGITAL ADS,,,S,S4MI00595,ROGERS,MIKE,,,,S,,MI,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E846ED0C80F1F4C588EC,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,462.19,,40290.12,DIGITAL ADS,,,O,S4MI00470,SLOTKIN,ELISSA,,,,S,,MI,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E880AEF92E58746658B8,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,879.70,,59975.54,DIGITAL ADS,,,S,S4AZ00220,LAKE,KARI,,,,S,,AZ,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E02177A8108724CC8A15,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,462.19,,40290.12,DIGITAL ADS,,,S,S4MI00595,ROGERS,MIKE,,,,S,,MI,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,EF46A0A0B1DEB4922BE9,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,338.93,,38561.50,DIGITAL ADS,,,S,S2NV00308,BROWN,SAM,,,,S,,NV,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E71D6E998603F4CCDA3E,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,249.47,,75278.69,DIGITAL ADS,,,O,S6PA00217,CASEY,ROBERT P.,JR.,,,S,,PA,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E226EC49811E44DE89F5,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-15,621.02,,51357.25,DIGITAL ADS,,,S,S8FL00273,SCOTT,RICK,,,,S,,FL,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E16188DFF882D4808B8E,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-16,1117.76,,62211.06,DIGITAL ADS,,,S,S4AZ00220,LAKE,KARI,,,,S,,AZ,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,ED798B6D7ED6E417CA7F,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-16,1098.22,,74833.58,DIGITAL ADS,,,S,S4WI00256,HOVDE,ERIC,,,,S,,WI,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E8B0C2CD670E245FFB3C,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-16,638.11,,52633.46,DIGITAL ADS,,,S,S8FL00273,SCOTT,RICK,,,,S,,FL,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E70B4925FE42E49B6BCB,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-16,325.79,,75930.28,DIGITAL ADS,,,O,S6PA00217,CASEY,ROBERT P.,JR.,,,S,,PA,HANNA,MICHAEL,,,,2024-10-24,X,
SE,C00747121,E9B2EE50D27E3477C8A4,,,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,940431351,G2024,,2024-10-16,15780.46,,963768.06,DIGITAL ADS,,,S,S2TX00312,CRUZ,TED,,,,S,,TX,HANNA,MICHAEL,,,,2024-10-24,X,
