form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00630707,500192783,,,ORG,AB Data Ltd.,,,,,,PO Box 170062,,Milwaukee,WI,532178000,,,2024-10-07,1413.60,0.00,Direct Mail,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500189913,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-01,37.80,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500189971,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-06,96.92,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500191330,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-13,150.98,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192801,,,ORG,"Burdick Consulting Group, LLC",,,,,,71 E Division St,,Chicago,IL,606108307,,,2024-10-16,3000.00,0.00,Direct Mail Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192786,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW,Ste 400,Washington,DC,200015825,,,2024-10-07,2500.00,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192802,,,ORG,EngageUSA,,,,,,880 N East St,Unit 205,Frederick,MD,217015045,,,2024-10-16,2035.12,0.00,Caging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192762,,,ORG,First Data Corporation,,,,,,5565 Glenridge Connector NE,,Atlanta,GA,303421651,,,2024-10-03,1195.77,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192926,,,ORG,"Good Fight Political, Inc.",,,,,,5205 Remstoy Dr,,Los Angeles,CA,900321221,,,2024-10-16,5448.25,0.00,GOTV Text Messages,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192803,,,ORG,Integral Resources,,,,,,PO Box 783018,,Philadelphia,PA,191783018,,,2024-10-16,3137.50,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192804,,,ORG,"Premier Political Compliance, Inc.",,,,,,1032 15th St NW,Ste 247,Washington,DC,200051502,,,2024-10-16,3054.78,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192805,,,ORG,"Salesberry Group, LLC",,,,,,2045 W Grand Ave,Ste B31638,Chicago,IL,606121576,,,2024-10-16,256.61,0.00,Subscriptions,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500189387,,,ORG,U. S. Postal Service,,,,,,2000 14th St NW,Ste 104,Washington,DC,200095093,,,2024-10-01,13.98,0.00,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500189388,,,ORG,U. S. Postal Service,,,,,,2000 14th St NW,Ste 104,Washington,DC,200095093,,,2024-10-02,37.58,0.00,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192777,,,ORG,U. S. Postal Service,,,,,,2000 14th St NW,Ste 104,Washington,DC,200095093,,,2024-10-07,117.12,0.00,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192789,,,ORG,U. S. Postal Service,,,,,,2000 14th St NW,Ste 104,Washington,DC,200095093,,,2024-10-08,25.35,0.00,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192792,,,ORG,U. S. Postal Service,,,,,,2000 14th St NW,Ste 104,Washington,DC,200095093,,,2024-10-09,197.52,0.00,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192793,,,ORG,U. S. Postal Service,,,,,,2000 14th St NW,Ste 104,Washington,DC,200095093,,,2024-10-10,37.58,0.00,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192795,,,ORG,U. S. Postal Service,,,,,,2000 14th St NW,Ste 104,Washington,DC,200095093,,,2024-10-15,116.24,0.00,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192799,,,ORG,U. S. Postal Service,,,,,,2000 14th St NW,Ste 104,Washington,DC,200095093,,,2024-10-16,43.70,0.00,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00630707,500192800,,,ORG,U. S. Postal Service,,,,,,2000 14th St NW,Ste 104,Washington,DC,200095093,,,2024-10-16,98.76,0.00,Postage,,,,,,,,,,,,,,,,,,,,
