form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00011114,500031128,,,ORG,"Impact 360 Marketing Communications, LLC",,,,,,3947 Camrose Place,,Marietta,GA,300626805,G2024,,2024-10-08,750.00,2024-10-11,1085931.93,2024 IE production costs for radio ads in the OH Senate General Election. ESTIMATE,004,,S,S6OH00163,Brown,Sherrod,,,,S,00,OH,McBride,Elissa,,,,2024-10-24,
SE,C00011114,500030924,,,ORG,Moxie Media,,,,,,P.O. Box 30084,,Seattle,WA,981132084,G2024,,2024-10-04,14750.76,2024-10-04,113185.34,2024 IE Mail Piece Production and Shipping Costs for NV-04 House Race,004,,O,H4NV04116,LEE,JOHN,,,,H,04,NV,McBride,Elissa,,,,2024-10-24,
SE,C00011114,500031117,,,ORG,Moxie Media,,,,,,P.O. Box 30084,,Seattle,WA,981132084,G2024,,2024-10-08,46004.23,2024-10-07,85328.11,2024 IE Mail Piece Production and Shipping Costs for IA-03 House Race.,004,,O,H2IA03119,NUNN,ZACH,,,,H,03,IA,McBride,Elissa,,,,2024-10-24,
SE,C00011114,500031118,,,ORG,Moxie Media,,,,,,P.O. Box 30084,,Seattle,WA,981132084,G2024,,2024-10-08,39093.15,2024-10-07,113185.34,2024 IE Mail Piece Production and Shipping Costs for NV-04 House Race.,004,,S,H2NV04011,Horsford,Steven,,,,H,04,NV,McBride,Elissa,,,,2024-10-24,
SE,C00011114,500031119,,,ORG,Moxie Media,,,,,,P.O. Box 30084,,Seattle,WA,981132084,G2024,,2024-10-09,18611.06,2024-10-09,18611.06,2024 IE Mail Piece Production and Shipping Costs for CA-47 House Race.,004,,S,H4CA47085,MIN,DAVE,,,,H,47,CA,McBride,Elissa,,,,2024-10-24,
SE,C00011114,500031141,,,ORG,Moxie Media,,,,,,P.O. Box 30084,,Seattle,WA,981132084,G2024,,2024-10-08,43151.79,2024-10-09,122056.61,2024 IE Mail Piece Production and Shipping Costs for CO-08 House Race.,004,,S,H2CO08020,Caraveo,Yadira,,,,H,08,CO,McBride,Elissa,,,,2024-10-24,
SE,C00011114,500031142,,,ORG,Moxie Media,,,,,,P.O. Box 30084,,Seattle,WA,981132084,G2024,,2024-10-09,20485.69,2024-10-09,122056.61,2024 IE Mail Piece Production and Shipping Costs for CO-08 House Race.,004,,O,H4CO08034,EVANS,TIMOTHY,JOSEPH,,,H,08,CO,McBride,Elissa,,,,2024-10-24,
SE,C00011114,500031161,,,ORG,Moxie Media,,,,,,P.O. Box 30084,,Seattle,WA,981132084,G2024,,2024-10-15,39093.40,2024-10-10,113185.34,2024 IE Mail Piece Production and Shipping Costs for NV-04 House Race.,004,,S,H2NV04011,Horsford,Steven,,,,H,04,NV,McBride,Elissa,,,,2024-10-24,
SE,C00011114,500031182,,,ORG,Moxie Media,,,,,,P.O. Box 30084,,Seattle,WA,981132084,G2024,,2024-10-15,37933.55,2024-10-11,122056.61,2024 IE Mail Piece Production and Shipping Costs for CO-08 House Race.,004,,S,H2CO08020,Caraveo,Yadira,,,,H,08,CO,McBride,Elissa,,,,2024-10-24,
SE,C00011114,500031189,,,ORG,Moxie Media,,,,,,P.O. Box 30084,,Seattle,WA,981132084,G2024,,2024-10-15,39323.88,2024-10-16,85328.11,2024 IE Mail Piece Production and Shipping Costs for IA House Race.,004,,O,H2IA03119,NUNN,ZACH,,,,H,03,IA,McBride,Elissa,,,,2024-10-24,
SE,C00011114,500031190,,,ORG,Moxie Media,,,,,,P.O. Box 30084,,Seattle,WA,981132084,G2024,,2024-10-16,20248.03,2024-10-16,113185.34,2024 IE Mail Piece Production and Shipping Costs for NV House Race.,004,,S,H2NV04011,Horsford,Steven,,,,H,04,NV,McBride,Elissa,,,,2024-10-24,
SE,C00011114,500031217,,,ORG,Moxie Media,,,,,,P.O. Box 30084,,Seattle,WA,981132084,G2024,,2024-10-16,20485.58,2024-10-16,122056.61,2024 IE Mail Piece Production and Shipping Costs for CO House Race.,004,,S,H2CO08020,Caraveo,Yadira,,,,H,08,CO,McBride,Elissa,,,,2024-10-24,
