form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00163832,B887464,,,PTY,Kentucky Democratic Party,,,,,,P.O. Box 694,,Frankfort,KY,40602,O2024,Not Applicable,2024-10-08,5000.00,,State Party Cmte,011,,,,,,,,,,, ,,,,,,,,
SB29,C00163832,B886301,,,CCM,Friends of Timothy H. Beson,,,,,,121 W Grove St. PO Box 88,,Kawkawlin,MI,48631,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 96 MI,011,,,,Beson,Timothy,H,,,H,MI,96,,,,,,,,
SB29,C00163832,B886303,,,CCM,Committee to Elect Ken Borton,,,,,,106 W. Allegan St. Ste 200,,Lansing,MI,48933,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 105 MI,011,,,,Borton,Ken,,,,H,MI,10,,,,,,,,
SB29,C00163832,B886305,,,CCM,Jennifer Conlin for State Representative,,,,,,435 Stein Road,,Ann Arbour,MI,48105,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 48 MI,011,,,,Conlin,Jennifer,,,,H,MI,48,,,,,,,,
SB29,C00163832,B886302,,,CCM,Committee to Elect Nancy DeBoer,,,,,,157 W. 40th St.,,Holland,MI,49423,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 86 MI,011,,,,DeBoer,Nancy,R,,,H,MI,86,,,,,,,,
SB29,C00163832,B886298,,,CCM,Matt Hall for State Representative,,,,,,PO Box 726,,Marshall,MI,49068,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 42 MI,011,,,,Hall,Matt,,,,H,MI,42,,,,,,,,
SB29,C00163832,B886311,,,CCM,Committee to Elect Gina Johnsen,,,,,,106 W. Allegan St Suite 200,,Lansing,MI,48933,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 78 MI,011,,,,Johnsen,Gina,M,,,H,MI,78,,,,,,,,
SB29,C00163832,B886309,,,CCM,CTE Tulio Liberati,,,,,,9260 Reeck,,Allen Park,MI,48101,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 2 MI,011,,,,Liberati,Tullio,,,,H,MI,02,,,,,,,,
SB29,C00163832,B886307,,,CCM,ELECT SHARON MACDONELL,,,,,,724 LONGFELLOW DRIVE,,TROY,MI,48085,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 56 MI,011,,,,MacDonell,Sharon,,,,H,MI,56,,,,,,,,
SB29,C00163832,B886308,,,CCM,Friends of Reggie Miller,,,,,,13697 Pond Bluff Drive,,Belleville,MI,48111,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 31 MI,011,,,,Miller,Reggie,,,,H,MI,31,,,,,,,,
SB29,C00163832,B886304,,,CCM,John Roth for State Rep. Committee,,,,,,9541 Amidon Dr.,,Traverse City,MI,49685,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 104 MI,011,,,,Roth,John,R,,,H,MI,10,,,,,,,,
SB29,C00163832,B886306,,,CCM,Friends of Nate Shannon,,,,,,43313 Interlaken Drive,,Sterling Heights,MI,48313,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 58 MI,011,,,,Shannon,Nate,,,,H,MI,58,,,,,,,,
SB29,C00163832,B886310,,,CCM,Friends of Will Snyder,,,,,,1445 Winchester Drive,,Muskegon,MI,49441,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 87 MI,011,,,,Snyder,Will,,,,H,MI,87,,,,,,,,
SB29,C00163832,B886300,,,CCM,CTE Alicia St. Germaine,,,,,,35252 Mast Street,,Harrison Township,MI,48045,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 62 MI,011,,,,St. Germaine,Alicia,,,,H,MI,62,,,,,,,,
SB29,C00163832,B886299,,,CCM,Friends of Jamie Thompson,,,,,,27314 Oakcrest Dr.,,Brownstown,MI,48183,O2024,Election Cycle,2024-10-03,250.00,,O-2024 State House 28 MI,011,,,,Thompson,Jamie,,,,H,MI,28,,,,,,,,
SB29,C00163832,B886296,,,CCM,Friends of Devlin Robinson,,,,,,2767 Locust Drive,,Pittsburgh,PA,15241,G2024,,2024-10-03,500.00,,G-2024 State Senate 37 PA,011,,,,Robinson,Devlin,,,,S,PA,37,,,,,,,,
