form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00746073,500035847,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2024-10-15,124.01,0.00,Office Supplies; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035848,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2024-10-15,95.38,0.00,Office Supplies; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035849,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2024-10-15,42.39,0.00,Office Supplies; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035846,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2024-10-16,205.48,0.00,Office Supplies; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035850,,,ORG,MissionWired,,,,,,650 Massachusetts Ave NW,,Washington,DC,200013796,,,2024-10-16,10000.00,0.00,List Acquisition; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035853,,,ORG,Movement Compliance LLC,,,,,,20836 Hall Rd,Number 194,Clinton Twp,MI,480387227,,,2024-10-09,1000.00,0.00,Compliance Consulting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035211,,,ORG,Prestige WW Inc.,,,,,,12701 Gordon Blvd,Apt 1,Woodbridge,VA,221922635,,,2024-10-04,4500.00,0.00,List Acquisition; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500034805,,,ORG,Storyblocks,,,,,,1515 N Courthouse Rd,Ste 1000,Arlington,VA,222012939,,,2024-10-01,70.00,0.00,Video Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035212,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-08,52.22,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035213,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-08,70.82,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035828,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-09,17.10,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035829,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-09,5.56,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035830,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-09,39.81,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035831,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-15,68.01,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035832,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-15,108.95,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035833,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-15,10.00,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035834,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-16,69.17,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035835,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-16,89.05,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035836,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-10-16,136.27,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500035851,,,ORG,Wave Break Digital LLC,,,,,,1380 Monroe St NW,# 409,Washington,DC,200103452,,,2024-10-15,100.00,0.00,Web Design and Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
