form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00705384,B-101036,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,G2022,,2024-10-02,175.00,,FEC Compliance Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101028,,,ORG,Premier WORKS,,,,,,2102 Business Center Drive,,Irvine,CA,92612,G2022,,2024-10-02,76.88,,Rental Office Space mail,001,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101035,,,ORG,Premier WORKS,,,,,,2102 Business Center Drive,,Irvine,CA,92612,G2022,,2024-10-02,76.88,,Rental Office Space mail,001,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101038,,,ORG,Elastic Email,,,,,,1208 Wharf Street,Unit 107,Victoria,,819,G2022,,2024-10-03,349.00,,Email Marketing Platform,001,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101039,,,ORG,Godaddy,,,,,,14455 North Hayden Road,,Scottsdale,AZ,85260,G2022,,2024-10-03,890.55,,Website Domain Hosting / Advertising,006,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101025,,,ORG,SG Hosting Inc.,,,,,,700 North Fairfax Street,,Alexandria,VA,22314,G2022,,2024-10-07,9.99,,VPS Web Hosting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101026,,,ORG,SG Hosting Inc.,,,,,,700 North Fairfax Street,,Alexandria,VA,22314,G2022,,2024-10-07,9.99,,VPS Web Hosting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101040,,,ORG,SG Hosting Inc.,,,,,,700 North Fairfax Street,,Alexandria,VA,22314,G2022,,2024-10-07,9.99,,VPS Web Hosting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101041,,,ORG,SG Hosting Inc.,,,,,,700 North Fairfax Street,,Alexandria,VA,22314,G2022,,2024-10-07,9.99,,VPS Web Hosting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101024,,,ORG,T-mobile,,,,,,12920 Southeast 38th Street,,Bellevue,WA,98006,G2022,,2024-10-07,251.46,,Business Phone Service,006,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101042,,,ORG,T-mobile,,,,,,12920 Southeast 38th Street,,Bellevue,WA,98006,G2022,,2024-10-07,251.46,,Business Phone Service,006,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101043,,,ORG,Godaddy,,,,,,14455 North Hayden Road,,Scottsdale,AZ,85260,G2022,,2024-10-08,22.34,,Website Domain Hosting / Advertising,006,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101044,,,ORG,Authorize.net,,,,,,,,,,,G2022,,2024-10-09,250.00,,Bank Return Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101046,,,ORG,Authorize.net,,,,,,,,,,,G2022,,2024-10-11,262.50,,Bank Return Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101022,,,ORG,Textla LLC,,,,,,21750 Hardy Oak Boulevard,,San Antonio,TX,78258,G2022,,2024-10-16,1250.00,,Digital Marketing Services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00705384,B-101023,,,ORG,Textla LLC,,,,,,21750 Hardy Oak Boulevard,,San Antonio,TX,78258,G2022,,2024-10-16,468.00,,Digital Marketing Services,003,,,,,,,,,,,,,,,,,,,
