form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00053553,SE.2,,,ORG,"LANCASTER COUNTY AGRICULTURAL SOCIETY, INC.",,,,,,4100 NORTH 84TH STREET,,LINCOLN,NE,68507,G2024,,2024-08-01,200.00,2024-07-11,32272.22,TABLE SPONSOR,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.1,,,ORG,NATIONAL RIFLE ASSOCIATION OF AMERICA INSTITUTE FOR LEGISLATIVE ACTION,,,,,,11250 WAPLES MILL ROAD,,FAIRFAX,VA,22030,G2024,,2024-08-01,266.67,2024-07-28,32538.89,"STAFF TIME, SEE SCHEDULE B, LINE 21B",,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.3,,,ORG,SHOWMASTERS INC.,,,,,,4225 FORTRESS DR,,BLACKSBURG,VA,24060,G2024,,2024-08-02,325.00,2024-06-19,32863.89,TABLE SPONSOR,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.4,,,ORG,NATIONAL RIFLE ASSOCIATION OF AMERICA INSTITUTE FOR LEGISLATIVE ACTION,,,,,,11250 WAPLES MILL ROAD,,FAIRFAX,VA,22030,G2024,,2024-08-04,1437.55,2024-08-04,34301.44,STAFF TIME,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.5,,,ORG,NATIONAL RIFLE ASSOCIATION OF AMERICA INSTITUTE FOR LEGISLATIVE ACTION,,,,,,11250 WAPLES MILL ROAD,,FAIRFAX,VA,22030,G2024,,2024-08-04,609.23,2024-08-04,34910.67,STAFF TIME,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.6,,,ORG,NATIONAL RIFLE ASSOCIATION OF AMERICA INSTITUTE FOR LEGISLATIVE ACTION,,,,,,11250 WAPLES MILL ROAD,,FAIRFAX,VA,22030,G2024,,2024-08-05,576.41,2024-08-04,35487.08,STAFF TIME,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.7,,,ORG,"WESTERN PACIFIC EVENTS, INC.",,,,,,P.O. BOX 22798,,BAKERSFIELD,CA,93390,G2024,,2024-08-07,815.00,2024-07-22,36302.08,TABLE SPONSOR,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.8,,,ORG,CL&S INC,,,,,,8404 161ST AVE NW,,RAMSEY,MN,55303,G2024,,2024-08-09,850.00,2024-05-20,37152.08,TABLE SPONSOR,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.9,,,ORG,NATIONAL RIFLE ASSOCIATION OF AMERICA INSTITUTE FOR LEGISLATIVE ACTION,,,,,,11250 WAPLES MILL ROAD,,FAIRFAX,VA,22030,G2024,,2024-08-11,830.77,2024-08-11,37982.85,STAFF TIME,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.10,,,ORG,NATIONAL RIFLE ASSOCIATION OF AMERICA INSTITUTE FOR LEGISLATIVE ACTION,,,,,,11250 WAPLES MILL ROAD,,FAIRFAX,VA,22030,G2024,,2024-08-11,387.69,2024-08-11,38370.54,STAFF TIME,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.11,,,ORG,NATIONAL RIFLE ASSOCIATION OF AMERICA INSTITUTE FOR LEGISLATIVE ACTION,,,,,,11250 WAPLES MILL ROAD,,FAIRFAX,VA,22030,G2024,,2024-08-12,886.77,2024-08-11,39257.31,STAFF TIME,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.12,,,ORG,NATIONAL RIFLE ASSOCIATION OF AMERICA INSTITUTE FOR LEGISLATIVE ACTION,,,,,,11250 WAPLES MILL ROAD,,FAIRFAX,VA,22030,G2024,,2024-08-13,466.67,2024-08-11,39723.98,STAFF TIME,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
SE,C00053553,SE.13,,,ORG,NATIONAL RIFLE ASSOCIATION OF AMERICA INSTITUTE FOR LEGISLATIVE ACTION,,,,,,11250 WAPLES MILL ROAD,,FAIRFAX,VA,22030,G2024,,2024-08-15,287.18,2024-08-11,40011.16,STAFF TIME,,,S,P80001571,TRUMP,DONALD,J.,,,P,,,FUNDERBURK,ZAC,,,,2024-09-20,,
