form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00752576,500017200,,,ORG,Van Ness Creative Strategies,,,,,,1 Huntington Quad,Ste 3N05,Melville,NY,117474468,,,2024-07-30,10000.00,0.00,Non-Contribution Account - Digital production,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017190,,,ORG,EveryAction,,,,,,655 15Th St NW,Ste 650,Washington,DC,200055738,,,2024-07-17,628.60,0.00,Non-Contribution Account - Database Services,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017201,,,ORG,"Mission Control, Inc",,,,,,624 Hebron Ave,Ste 200,Glastonbury,CT,060335006,,,2024-07-11,1680.00,0.00,Non-Contribution Account - Palm Card,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017191,,,ORG,EveryAction,,,,,,655 15Th St NW,Ste 650,Washington,DC,200055738,,,2024-08-07,2514.38,0.00,Non-Contribution Account - Database Services,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017202,,,ORG,"Mission Control, Inc",,,,,,624 Hebron Ave,Ste 200,Glastonbury,CT,060335006,,,2024-08-30,10450.00,0.00,Non-Contribution Account - Palm Card,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017192,,,ORG,EveryAction,,,,,,655 15Th St NW,Ste 650,Washington,DC,200055738,,,2024-09-03,1257.19,0.00,Non-Contribution Account - Database Services,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017203,,,ORG,"Mission Control, Inc",,,,,,624 Hebron Ave,Ste 200,Glastonbury,CT,060335006,,,2024-08-30,17540.00,0.00,Non-Contribution Account - Palm Card,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017193,,,ORG,When We Mobilize,,,,,,3110 N Central Ave,Ste D160,Phoenix,AZ,850122652,,,2024-07-11,38080.00,0.00,Non-Contribution Account - Canvassing,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017194,,,ORG,When We Mobilize,,,,,,3110 N Central Ave,Ste D160,Phoenix,AZ,850122652,,,2024-08-26,800000.00,0.00,Non-Contribution Account - Canvassing,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017195,,,ORG,"The Money Wheel, LLC",,,,,,1325 W Holly St,,Phoenix,AZ,850071528,,,2024-07-25,2500.00,0.00,Non-Contribution Account - Compliance & Accounting Services,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017196,,,ORG,"The Money Wheel, LLC",,,,,,1325 W Holly St,,Phoenix,AZ,850071528,,,2024-07-25,2500.00,0.00,Non-Contribution Account - Compliance & Accounting Services,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017187,,,PAC,PRIORITIES USA ACTION,,,,,,600 Pennsylvania Ave SE,Unit 15845,Washington,DC,200037534,,,2024-09-12,27002.24,0.00,"Digital Ad Buy, Non-Contribution Account",,C00495861,PRIORITIES USA ACTION,,,,,,,,,,,,,,,,,
SB29,C00752576,500017197,,,ORG,"The Money Wheel, LLC",,,,,,1325 W Holly St,,Phoenix,AZ,850071528,,,2024-08-30,2500.00,0.00,Non-Contribution Account - Compliance & Accounting Services,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017188,,,COM,Wes Moore For Maryland,,,,,,Address Requested,,Phoenix,AZ,85034,,,2024-08-27,4000.00,0.00,"Contribution, Non-Contribution Account",,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017198,,,ORG,"The Money Wheel, LLC",,,,,,1325 W Holly St,,Phoenix,AZ,850071528,,,2024-08-30,2500.00,0.00,Non-Contribution Account - Compliance & Accounting Services,,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017189,,,COM,Our Voice Our Vote Arizona PAC (AZ STATE PAC),,,,,,1241 E Washington St,Ste 103,Phoenix,AZ,850341100,,,2024-07-08,50000.00,0.00,"Contribution, Non-Contribution Account",,,,,,,,,,,,,,,,,,,,
SB29,C00752576,500017199,,,ORG,"The Money Wheel, LLC",,,,,,1325 W Holly St,,Phoenix,AZ,850071528,,,2024-08-31,2500.00,0.00,Non-Contribution Account - Compliance & Accounting Services,,,,,,,,,,,,,,,,,,,,
