form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00208249,SB29.17792,,,COM,American Dream PAC,,,,,,PO Box 105527,,Jefferson City,MO,65102,P2024,,2024-10-23,-1000.00,,Check 3990 issued 7/16/2024 never cashed and now voided,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17797,,,CCM,Brian Evans for State Representative,,,,,,P.O. Box 1365,,Cabot,AR,72023,G2024,,2024-10-25,500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17841,,,CCM,Carl Turner for Kansas,,,,,,13001 El Monte St.,,Leawood,KS,66209,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17823,,,CCM,Chuck Smith for Kansas,,,,,,2112 W. 4th,,Pittsburg,KS,66762,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17803,,,CCM,Committee To Elect Bob Bromley,,,,,,PO Box 741,,Carl Junction,MO,64834,G2024,,2024-10-25,1000.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17818,,,CCM,Committee to Elect Cameron Bunting Parker,,,,,,PO Box 166,,Malden,MO,63863,G2024,,2024-10-25,500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17831,,,CCM,Committee to Elect Elaine Bowers,,,,,,212 E. 6th Street,,Concordia,KS,66901,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17820,,,CCM,Committee To Elect Keri Ingle,,,,,,3104 SW Muir Dr,,Lees Summit,MO,64081,G2024,,2024-10-25,500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17816,,,CCM,Elect Sherri Gallick Campaign,,,,,,PO Box 1372,,Belton,MO,64012,G2024,,2024-10-25,500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17830,,,CCM,Ethan for Kansas,,,,,,4601 W. 62nd Terrace,,Fairway,KS,66205,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17805,,,CCM,Friends for Ed Lewis,,,,,,PO Box 53,,Moberly,MO,65270,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17843,,,CCM,Friends for Michael Bergstrom,,,,,,9436 N 439 Rd,,Big Cabin,OK,74332,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
