form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00756056,500036358,,,ORG,Savvy Communications,,,,,,41750 Rancho Las Palmas Dr,Ste E,Rancho Mirage,CA,922705511,G2024,,2024-10-27,2000.00,2024-10-27,2000.00,GOTV ROBO CALLS; IE-ONLY ACCOUNT,004,,S,H2CO08020,CARAVEO,YADIRA,,,,H,08,CO,GRAY,AMY,WILLS,,,2024-12-04,
SE,C00756056,500036359,,,ORG,Savvy Communications,,,,,,41750 Rancho Las Palmas Dr,Ste E,Rancho Mirage,CA,922705511,G2024,,2024-10-27,2000.00,2024-10-27,2000.00,GOTV ROBO CALLS; IE-ONLY ACCOUNT,004,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,GRAY,AMY,WILLS,,,2024-12-04,
SE,C00756056,500036360,,,ORG,Savvy Communications,,,,,,41750 Rancho Las Palmas Dr,Ste E,Rancho Mirage,CA,922705511,G2024,,2024-10-27,2000.00,2024-10-27,2000.00,GOTV ROBO CALLS; IE-ONLY ACCOUNT,004,,S,H2NM02191,VASQUEZ,GABRIEL,,,,H,02,NM,GRAY,AMY,WILLS,,,2024-12-04,
SE,C00756056,500036361,,,ORG,Savvy Communications,,,,,,41750 Rancho Las Palmas Dr,Ste E,Rancho Mirage,CA,922705511,G2024,,2024-10-27,2000.00,2024-10-27,2000.00,GOTV ROBO CALLS; IE-ONLY ACCOUNT,004,,S,H2OH09031,KAPTUR,MARCY,M.C.,,,H,09,OH,GRAY,AMY,WILLS,,,2024-12-04,
SE,C00756056,500036814,,,ORG,Stones' Phones,,,,,,41750 Rancho Las Palmas Dr,Ste E,Rancho Mirage,CA,922705511,G2024,,2024-11-04,1750.00,2024-11-04,1750.00,Robo Calls to GOTV; IE-Only Account,004,,S,H4VA02060,COTTER SMASAL,MISSY,,,,H,02,VA,GRAY,AMY,WILLS,,,2024-12-04,
SE,C00756056,500036815,,,ORG,Stones' Phones,,,,,,41750 Rancho Las Palmas Dr,Ste E,Rancho Mirage,CA,922705511,G2024,,2024-11-04,1750.00,2024-11-04,1750.00,Robo Calls to GOTV; IE-Only Account,004,,S,H4NJ07107,ALTMAN,SUSAN,COPIUS,,,H,07,NJ,GRAY,AMY,WILLS,,,2024-12-04,
SE,C00756056,500035978,,,ORG,The Dover Group,,,,,,823 N 25th St,,Philadelphia,PA,191301818,G2024,,2024-10-21,7500.00,2024-10-21,7500.00,Digital Advertising; IE-Only Account,004,,S,P00009423,HARRIS,KAMALA,,,,P,00,PA,GRAY,AMY,WILLS,,,2024-12-04,
SE,C00756056,500035984,,,ORG,The Dover Group,,,,,,823 N 25th St,,Philadelphia,PA,191301818,G2024,,2024-10-22,5000.00,2024-10-22,5000.00,Digital Advertising; IE-Only Account,004,,S,S6MT00162,TESTER,R.,JON,,,S,00,MT,GRAY,AMY,WILLS,,,2024-12-04,
SE,C00756056,500035985,,,ORG,The Dover Group,,,,,,823 N 25th St,,Philadelphia,PA,191301818,G2024,,2024-10-22,5000.00,2024-10-22,5000.00,Digital Advertising; IE-Only Account,004,,S,S6OH00163,BROWN,SHERROD,,,,S,,OH,GRAY,AMY,WILLS,,,2024-12-04,
SE,C00756056,500035986,,,ORG,The Dover Group,,,,,,823 N 25th St,,Philadelphia,PA,191301818,G2024,,2024-10-22,5000.00,2024-10-22,5000.00,Digital Advertising; IE-Only Account,004,,S,S4MI00470,SLOTKIN,ELISSA,,,,S,00,MI,GRAY,AMY,WILLS,,,2024-12-04,
SE,C00756056,500035987,,,ORG,The Dover Group,,,,,,823 N 25th St,,Philadelphia,PA,191301818,G2024,,2024-10-22,5000.00,2024-10-22,5000.00,Digital Advertising; IE-Only Account,004,,S,H8WI00018,BALDWIN,TAMMY,,,,S,,WI,GRAY,AMY,WILLS,,,2024-12-04,
SE,C00756056,500035988,,,ORG,The Dover Group,,,,,,823 N 25th St,,Philadelphia,PA,191301818,G2024,,2024-10-22,5000.00,2024-10-22,5000.00,Digital Advertising; IE-Only Account,004,,S,H2AK01158,PELTOLA,MARY,,,,H,00,AK,GRAY,AMY,WILLS,,,2024-12-04,
