form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00528950,SB21B.20039,,,ORG,ActBlue Technical Services,,,,,,PO BOX 441146,,Somerville,MA,02144,,,2024-11-25,5553.95,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20056,,,ORG,Apollo Artistry,,,,,,1165 N Clark St.,#700,Chicago,IL,60610,,,2024-10-15,150.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20082,,,ORG,Apollo Artistry,,,,,,1165 N Clark St.,#700,Chicago,IL,60610,,,2024-11-14,150.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20052,,,ORG,Bill.com,,,,,,6220 America Center Drive,Suite 100,San Jose,CA,95002,,,2024-10-10,337.56,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20081,,,ORG,Bill.com,,,,,,6220 America Center Drive,Suite 100,San Jose,CA,95002,,,2024-11-12,340.67,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20067,,,ORG,EveryAction,,,,,,PO Box 392264,,Pittsburgh,PA,15251,,,2024-10-31,5923.62,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20046,,,ORG,Garner & Associates LLC,,,,,,1231 B Good Hope Road SE,,Washington,DC,20020,,,2024-10-02,2000.00,,Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20068,,,ORG,Garner & Associates LLC,,,,,,1231 B Good Hope Road SE,,Washington,DC,20020,,,2024-10-31,2000.00,,Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20044,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-10-01,208.61,,Online Data Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20064,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-10-30,37120.76,,Ads - Not Candidate Specific,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20071,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-11-01,209.88,,Online Data Management,,,,,,,,,,,,,,,,,,,,
