form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00760124,SB21B.I793,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003    ,,,2024-11-08,272.55,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I794,,,ORG,"DIGITAL MARKETING SOLUTIONS GROUP, LLC",,,,,,3301 RICHMOND HWY. #1027,,ALEXANDRIA,VA,22305    ,,,2024-11-08,30003.05,,MARKETING CONSULTING / TRAVEL / ONLINE AD / EMAIL / SMS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I795,,,ORG,"DIGITAL MARKETING SOLUTIONS GROUP, LLC",,,,,,3301 RICHMOND HWY. #1027,,ALEXANDRIA,VA,22305    ,,,2024-11-13,15466.14,,MANAGEMENT CONSULTING / ONLINE AD / EMAIL / SMS / WEB SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I818,,,ORG,"DIGITAL MARKETING SOLUTIONS GROUP, LLC",,,,,,3301 RICHMOND HWY. #1027,,ALEXANDRIA,VA,22305    ,,,2024-11-25,272446.73,,DEBT PMT: MARKETING CONSULTING / WEB SERVICE / ONL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I822,,,ORG,"DIGITAL MARKETING SOLUTIONS GROUP, LLC",,,,,,3301 RICHMOND HWY. #1027,,ALEXANDRIA,VA,22305    ,,,2024-11-25,8102.48,,MARKETING CONSULTING / WEB SERVICE / ONL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I796,,,ORG,HOLTZMAN VOGEL BARAN JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169    ,,,2024-11-06,88.78,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I797,,,ORG,HOLTZMAN VOGEL BARAN JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169    ,,,2024-11-07,5.85,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I798,,,ORG,HOLTZMAN VOGEL BARAN JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169    ,,,2024-11-12,106.06,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I799,,,ORG,HOLTZMAN VOGEL BARAN JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169    ,,,2024-11-13,0.31,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I800,,,ORG,WIN RED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219    ,,,2024-10-21,27.11,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I801,,,ORG,WIN RED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219    ,,,2024-10-28,302.14,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I802,,,ORG,WIN RED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219    ,,,2024-10-31,368.66,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I803,,,ORG,WIN RED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219    ,,,2024-11-11,513.95,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I804,,,ORG,WIN RED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219    ,,,2024-11-18,322.98,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00760124,SB21B.I805,,,ORG,WIN RED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219    ,,,2024-11-25,327.24,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
