form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00760124,SB29.I812,,,ORG,AXIOM STRATEGIES,,,,,,800 W 47TH ST,STE 200,KANSAS CITY,MO,64112,,,2024-10-23,35000.00,,NON-CONTRIBUTION ACCT: FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00760124,SB29.I806,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD SUITE 400,SUITE 400,TYSONS CORNER,VA,22182,,,2024-11-06,1000.00,,NON-CONTRIBUTION ACCT: DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB29,C00760124,SB29.I811,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003    ,,,2024-11-08,4133.70,,NON-CONTRIBUTION ACCT: COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00760124,SB29.I813,,,ORG,"DIGITAL MARKETING SOLUTIONS GROUP, LLC",,,,,,3301 RICHMOND HWY. #1027,,ALEXANDRIA,VA,22305    ,,,2024-11-08,35031.43,,DEBT PMT: NON-CONTRIBUTION ACCT: MARKETING CONSULTING / TRAVEL / ONLINE AD / EMAIL / SMS,,,,,,,,,,,,,  ,,,,,,,
SB29,C00760124,SB29.I814,,,ORG,"DIGITAL MARKETING SOLUTIONS GROUP, LLC",,,,,,3301 RICHMOND HWY. #1027,,ALEXANDRIA,VA,22305    ,,,2024-11-13,1098.32,,NON-CONTRIBUTION ACCT: MANAGEMENT CONSULTING / ONLINE AD,,,,,,,,,,,,,  ,,,,,,,
SB29,C00760124,SB29.I820,,,ORG,"DIGITAL MARKETING SOLUTIONS GROUP, LLC",,,,,,3301 RICHMOND HWY. #1027,,ALEXANDRIA,VA,22305    ,,,2024-11-25,98763.70,,DEBT PMT: NON-CONTRIBUTION ACCT: MARKETING CONSULTING / TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB29,C00760124,SB29.I807,,,ORG,HOLTZMAN VOGEL BARAN JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169    ,,,2024-11-06,1346.48,,NON-CONTRIBUTION ACCT: LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00760124,SB29.I808,,,ORG,HOLTZMAN VOGEL BARAN JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169    ,,,2024-11-07,88.78,,NON-CONTRIBUTION ACCT: LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00760124,SB29.I809,,,ORG,HOLTZMAN VOGEL BARAN JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169    ,,,2024-11-12,891.44,,NON-CONTRIBUTION ACCT: LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00760124,SB29.I810,,,ORG,HOLTZMAN VOGEL BARAN JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HIGHWAY,,HAYMARKET,VA,20169    ,,,2024-11-13,7.08,,NON-CONTRIBUTION ACCT: LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00760124,SB29.I792,,,PAC,GRASSROOTS ACTION FUND,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2024-10-30,127000.00,,NON-CONTRIBUTION ACCT: CONTRIBUTION,,C00808584,,,,,,,,,,,  ,,,,,,,
