form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00139659,SB23.65334,,,CCM,ADAM FOR COLORADO,,,,,,PO BOX 371,,WOODY CREEK,CO,81656,G2024,,2024-10-17,10.00,,"earmarked conduit through ActBlue-Sackheim, Kathy",,C00805275,ADAM FOR COLORADO,H2CO03351,FRISCH,ADAM,,,,H,CO,03,,,,,,,X,
SB23,C00139659,SB23.65328,,,CCM,ALSOBROOKS FOR SENATE,,,,,,1101 MERCANTILE LN STE 100,,UPPER MARLBORO,MD,20774,G2024,,2024-10-30,50.00,,"earmarked conduit through ActBlue-Stone, Jill",,C00840017,ALSOBROOKS FOR SENATE,S4MD00327,ALSOBROOKS,ANGELA,,,,S,MD,00,,,,,,,X,
SB23,C00139659,SB23.65362,,,CCM,ALSOBROOKS FOR SENATE,,,,,,1101 MERCANTILE LN STE 100,,UPPER MARLBORO,MD,20774,G2024,,2024-11-04,250.00,,"earmarked conduit through ActBlue-Sher, Jamie B",,C00840017,ALSOBROOKS FOR SENATE,S4MD00327,ALSOBROOKS,ANGELA,,,,S,MD,00,,,,,,,X,
SB23,C00139659,SB23.64994,,,CCM,ALTMAN FOR CONGRESS,,,,,,PO BOX 267,,LAMBERTVILLE,NJ,08530,O2024,h,2024-10-28,1500.00,,direct campaign contribution,,C00841643,ALTMAN FOR CONGRESS,H4NJ07107,ALTMAN,SUSAN COPIUS,,,,H,NJ,07,,,,,,,,
SB23,C00139659,SB23.65317,,,CCM,ALTMAN FOR CONGRESS,,,,,,PO BOX 267,,LAMBERTVILLE,NJ,08530,G2024,,2024-10-29,250.00,,"earmarked conduit through ActBlue-Yamner, Gail",,C00841643,ALTMAN FOR CONGRESS,H4NJ07107,ALTMAN,SUSAN COPIUS,,,,H,NJ,07,,,,,,,X,
SB23,C00139659,SB23.65304,,,CCM,ANGIE CRAIG FOR CONGRESS,,,,,,PO BOX 22116,,EAGAN,MN,55122,G2024,,2024-10-22,500.00,,"earmarked conduit through ActBlue-Sheerr, Betsy",,C00575209,ANGIE CRAIG FOR CONGRESS,H6MN02131,CRAIG,ANGELA DAWN,,,,H,MN,02,,,,,,,X,
SB23,C00139659,SB23.64985,,,PTY,BALDWIN FOR WISCONSIN,,,,,,PO BOX 696,,MADISON,WI,53701,G2024,,2024-10-28,2500.00,,direct campaign contribution,,,,S2WI00219,BALDWIN,TAMMY,,,,S,WI,00,,,,,,,,
SB23,C00139659,SB23.65250,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-17,100.00,,"conduit earmarked through ActBlue-Sinnreich, Karen",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65251,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-17,150.00,,"earmarked through ActBlue-Holtz, Judith",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65252,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-17,250.00,,"earmarked through ActBlue-Michelon , Stacey",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65253,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-17,100.00,,"conduit earmarked through ActBlue-Korn, Susan",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65254,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-17,250.00,,"conduit earmarked through ActBlue-Wilkes, Sharon",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65255,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-17,25.00,,"conduit earmarked through ActBlue-Berger, Barbara",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65256,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-17,10.00,,conduit earmarked through ActBlue-Sackheim Katherine,,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65257,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-17,100.00,,"conduit earmarked through ActBlue-Moore, Diane",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65258,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-19,100.00,,"conduit earmarked through ActBlue-Slavick, Joanna",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65259,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-19,250.00,,"conduit earmarked through ActBlue-Small, Amy",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65260,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-21,1000.00,,"conduit earmarked through ActBlue-Washlow, Roberta",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65261,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-22,1000.00,,"conduit earmarked through ActBlue-Sheerr, Betsy",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65262,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-22,2400.00,,"conduit earmarked through ActBlue-Klehr, deborah",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
