form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00891275,SE.4130,,,ORG,PMG Strategies LLC,,,,,,312 West 2nd St PMB 5646,,Casper,WY,82601,G2024,,2024-10-23,247000.00,2024-10-23,247000.00,Digital Advertising,004,C00891275,O,S2WI00219,BALDWIN,TAMMY,,,,S,00,WI,BACKUS,GARY,,,,2024-12-05,
SE,C00891275,SE.4100,,,ORG,"Progressive Impact, LLC",,,,,,1440 W. Taylor St,# 1468,Chicago,IL,60607,G2024,,2024-10-19,42123.00,,42123.00,Direct Mail,004,C00891275,S,,QUINTANA,EDUARDO,,,,S,00,AZ,BACKUS,GARY,,,,2024-12-05,
SE,C00891275,SE.4103,,,ORG,"Progressive Impact, LLC",,,,,,1440 W. Taylor St,# 1468,Chicago,IL,60607,G2024,,2024-10-19,42123.00,,84246.00,Direct Mail,004,C00891275,O,S4AZ00139,GALLEGO,RUBEN,,,,S,00,AZ,BACKUS,GARY,,,,2024-12-05,
SE,C00891275,SE.4105,,,ORG,"Progressive Impact, LLC",,,,,,1440 W. Taylor St,# 1468,Chicago,IL,60607,G2024,,2024-10-19,7368.00,,91614.00,Text Messaging,004,C00891275,S,,QUINTANA,EDUARDO,,,,S,00,AZ,BACKUS,GARY,,,,2024-12-05,
SE,C00891275,SE.4106,,,ORG,"Progressive Impact, LLC",,,,,,1440 W. Taylor St,# 1468,Chicago,IL,60607,G2024,,2024-10-19,7368.00,,98982.00,Text Messaging,004,C00891275,O,S4AZ00139,GALLEGO,RUBEN,,,,S,00,AZ,BACKUS,GARY,,,,2024-12-05,
SE,C00891275,SE.4107,,,ORG,"Progressive Impact, LLC",,,,,,1440 W. Taylor St,# 1468,Chicago,IL,60607,G2024,,2024-10-21,7368.00,,106350.00,Text Messaging,004,C00891275,S,,QUINTANA,EDUARDO,,,,S,00,AZ,BACKUS,GARY,,,,2024-12-05,
SE,C00891275,SE.4108,,,ORG,"Progressive Impact, LLC",,,,,,1440 W. Taylor St,# 1468,Chicago,IL,60607,G2024,,2024-10-21,7368.00,,113718.00,Text Messaging,004,C00891275,O,S4AZ00139,GALLEGO,RUBEN,,,,S,00,AZ,BACKUS,GARY,,,,2024-12-05,
SE,C00891275,SE.4116,,,ORG,"Progressive Impact, LLC",,,,,,1440 W. Taylor St,# 1468,Chicago,IL,60607,G2024,,2024-10-22,42123.00,,155841.00,Direct Mail,004,C00891275,S,,QUINTANA,EDUARDO,,,,S,00,AZ,BACKUS,GARY,,,,2024-12-05,
SE,C00891275,SE.4117,,,ORG,"Progressive Impact, LLC",,,,,,1440 W. Taylor St,# 1468,Chicago,IL,60607,G2024,,2024-10-22,42123.00,,197964.00,Direct Mail,004,C00891275,O,S4AZ00139,GALLEGO,RUBEN,,,,S,00,AZ,BACKUS,GARY,,,,2024-12-05,
SE,C00891275,SE.4118,,,ORG,"Progressive Impact, LLC",,,,,,1440 W. Taylor St,# 1468,Chicago,IL,60607,G2024,,2024-10-23,7368.00,,205332.00,Text Messaging,004,C00891275,S,,QUINTANA,EDUARDO,,,,S,00,AZ,BACKUS,GARY,,,,2024-12-05,
SE,C00891275,SE.4119,,,ORG,"Progressive Impact, LLC",,,,,,1440 W. Taylor St,# 1468,Chicago,IL,60607,G2024,,2024-10-25,7368.00,,220068.00,Text Messaging,004,C00891275,S,,QUINTANA,EDUARDO,,,,S,00,AZ,BACKUS,GARY,,,,2024-12-05,
