form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00675140,500695261,,,ORG,AA Consulting,,,,,,2093 Philadelphia Pike,# 1262,Claymont,DE,197032424,,,2024-10-22,1000.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00675140,500695110,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,,New York,NY,100016708,G2024,,2024-10-29,103.90,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00675140,500695112,,,ORG,First Bankcard,,,,,,PO Box 2557,,Omaha,NE,681032557,,,2024-10-30,3500.00,0.00,"Credit Card Payment, See Below",,,,,,,,,,,,,,,,,,,,
SB21B,C00675140,500695231,500695112,SB21B,ORG,Amalgamated Bank,,,,,,275 7th Ave,,New York,NY,100016708,G2024,,2024-10-30,35.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695232,500695112,SB21B,ORG,Amalgamated Bank,,,,,,275 7th Ave,,New York,NY,100016708,G2024,,2024-10-30,39.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695115,500695112,SB21B,ORG,GoDaddy,,,,,,14455 N Hayden Rd,Ste 100,Scottsdale,AZ,852606993,,,2024-10-30,87.68,0.00,Website Hosting,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695113,500695112,SB21B,ORG,NationBuilder,,,,,,520 S Grand Ave,Fl 2,Los Angeles,CA,900712600,G2024,,2024-10-30,3.16,0.00,Software Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695219,500695112,SB21B,ORG,NationBuilder,,,,,,520 S Grand Ave,Fl 2,Los Angeles,CA,900712600,G2024,,2024-10-30,69.00,0.00,Software Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695220,500695112,SB21B,ORG,NationBuilder,,,,,,520 S Grand Ave,Fl 2,Los Angeles,CA,900712600,G2024,,2024-10-30,69.00,0.00,Software Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695221,500695112,SB21B,ORG,NationBuilder,,,,,,520 S Grand Ave,Fl 2,Los Angeles,CA,900712600,G2024,,2024-10-30,69.00,0.00,Software Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695222,500695112,SB21B,ORG,NationBuilder,,,,,,520 S Grand Ave,Fl 2,Los Angeles,CA,900712600,G2024,,2024-10-30,69.00,0.00,Software Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695223,500695112,SB21B,ORG,NationBuilder,,,,,,520 S Grand Ave,Fl 2,Los Angeles,CA,900712600,G2024,,2024-10-30,34.00,0.00,Software Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695224,500695112,SB21B,ORG,"NGP Van, Inc.",,,,,,PO Box 392264,,Pittsburgh,PA,152519264,G2024,,2024-10-30,504.61,0.00,Database Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695226,500695112,SB21B,ORG,"NGP Van, Inc.",,,,,,PO Box 392264,,Pittsburgh,PA,152519264,G2024,,2024-10-30,200.92,0.00,Database Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695227,500695112,SB21B,ORG,"NGP Van, Inc.",,,,,,PO Box 392264,,Pittsburgh,PA,152519264,G2024,,2024-10-30,705.00,0.00,Database Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695168,500695112,SB21B,ORG,Perkins Coie LLP,,,,,,1201 3rd Ave,,Seattle,WA,981013029,,,2024-10-30,500.00,0.00,Legal & Compliance Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695170,500695112,SB21B,ORG,Perkins Coie LLP,,,,,,1201 3rd Ave,,Seattle,WA,981013029,,,2024-10-30,500.00,0.00,Legal & Compliance Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695171,500695112,SB21B,ORG,Perkins Coie LLP,,,,,,1201 3rd Ave,,Seattle,WA,981013029,,,2024-10-30,200.00,0.00,Legal & Compliance Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695173,500695112,SB21B,ORG,Perkins Coie LLP,,,,,,1201 3rd Ave,,Seattle,WA,981013029,,,2024-10-30,139.12,0.00,Legal & Compliance Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695114,500695112,SB21B,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-30,31.58,0.00,Technology Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695206,500695112,SB21B,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-30,31.58,0.00,Technology Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695214,500695112,SB21B,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-30,42.47,0.00,Technology Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695215,500695112,SB21B,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-30,42.47,0.00,Technology Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695216,500695112,SB21B,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-30,42.47,0.00,Technology Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695217,500695112,SB21B,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-30,42.47,0.00,Technology Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00675140,500695218,500695112,SB21B,ORG,Shopify Inc.,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-30,42.47,0.00,Technology Services,,,,,,,,,,,,,,,,,,,X,*
