form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00867549,B-17408,,,ORG,Argo Strategies,,,,,,PO Box 9100,,Seattle,WA,98109,G2024,,2024-11-06,1000.00,,treasury and compliance fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17450,,,ORG,Buttonsmith Inc,,,,,,14833 NE 87th St,,Redmond,WA,98052,G2024,,2024-10-17,750.00,,merchandise costs,006,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17433,,,ORG,Buttonsmith Inc,,,,,,14833 NE 87th St,,Redmond,WA,98052,G2024,,2024-10-25,750.00,,merchandise costs,006,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17428,,,ORG,Buttonsmith Inc,,,,,,14833 NE 87th St,,Redmond,WA,98052,G2024,,2024-10-31,795.06,,merchandise costs,006,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17430,,,ORG,Buttonsmith Inc,,,,,,14833 NE 87th St,,Redmond,WA,98052,G2024,,2024-11-01,1300.00,,merchandise costs,006,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17416,,,ORG,Edel Rodriquez,,,,,,16 Ridgewood Ave,Box 102,Mount Tabor,NJ,07878,G2024,,2024-10-25,196.95,,Artist Fees & Commissions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17419,,,ORG,Edel Rodriquez,,,,,,16 Ridgewood Ave,Box 102,Mount Tabor,NJ,07878,G2024,,2024-10-25,1000.00,,Artist Fees & Commissions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17161,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-17,267.17,,processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17452,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-17,100.72,,advertising and marketing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17453,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-17,173.57,,advertising and marketing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17454,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-17,180.30,,advertising and marketing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17455,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-17,404.85,,advertising and marketing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17162,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-18,307.64,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17451,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-18,149.55,,advertising and marketing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17163,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-19,509.49,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17164,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-20,251.91,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17165,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-21,422.57,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17449,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-21,35.80,,advertising and marketing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17166,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-22,746.03,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17167,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-23,489.85,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17440,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-23,78.25,,advertising and marketing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17441,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-23,30.00,,advertising and marketing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17168,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-24,582.36,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17169,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-25,460.60,,processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00867549,B-17170,,,ORG,"Goodstock & Co, LLC",,,,,,220 Southeast 6th Street,,Des Moines,IA,50309,G2024,,2024-10-26,363.62,,processing fees,001,,,,,,,,,,,,,,,,,,,
