form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00838441,BB470166C0DEA4EA5A5E,,,ORG,ADVANCED PAYROLL SOLUTIONS,,,,,,1278 WORTHINGTON WOODS BLVD,,COLUMBUS,OH,430854786,,,2024-10-11,321.03,,PAYROLL TAXES,001,,,,,,,,,,,,,,,,,,,,
SB21B,C00838441,B31D7A689121448C09BD,,,ORG,ADVANCED PAYROLL SOLUTIONS,,,,,,1278 WORTHINGTON WOODS BLVD,,COLUMBUS,OH,430854786,,,2024-10-30,222.82,,PAYROLL TAXES,001,,,,,,,,,,,,,,,,,,,,
SB21B,C00838441,BD442334A9DE344D5A15,,,ORG,ADVANCED PAYROLL SOLUTIONS,,,,,,1278 WORTHINGTON WOODS BLVD,,COLUMBUS,OH,430854786,,,2024-11-14,126.46,,PAYROLL TAXES,001,,,,,,,,,,,,,,,,,,,,
SB21B,C00838441,BF168D64A8EB34D139A6,,,ORG,ADVANCED PAYROLL SOLUTIONS,,,,,,1278 WORTHINGTON WOODS BLVD,,COLUMBUS,OH,430854786,,,2024-11-14,96.63,,PAYROLL SERVICE FEE,001,,,,,,,,,,,,,,,,,,,,
SB21B,C00838441,B1F5F346433C34A659CA,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DFW AIRPORT,TX,752619616,,,2024-10-01,553.95,,AIRFARE,002,,,,,,,,,,,,,,,,,,,,
SB21B,C00838441,B09F7C3AE89064752B53,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DFW AIRPORT,TX,752619616,,,2024-10-04,259.48,,AIRFARE,002,,,,,,,,,,,,,,,,,,,,
SB21B,C00838441,BCEC7904FA46D427B960,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DFW AIRPORT,TX,752619616,,,2024-11-13,165.00,,AIRFARE,002,,,,,,,,,,,,,,,,,,,,
SB21B,C00838441,BBEF3C781B4924DCCB10,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DFW AIRPORT,TX,752619616,,,2024-11-18,138.48,,AIRFARE,002,,,,,,,,,,,,,,,,,,,,
SB21B,C00838441,B2B834EA5F7374A379DD,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DFW AIRPORT,TX,752619616,,,2024-11-25,285.00,,AIRFARE,002,,,,,,,,,,,,,,,,,,,,
SB21B,C00838441,B532E44064120464DB31,,,ORG,ARISTOTLE INC. LLC,,,,,,"205 PENNSYLVANIA AVE., SE",,WASHINGTON,DC,200031164,,,2024-10-17,802.51,,COMPLIANCE SOFTWARE,001,,,,,,,,,,,,,,,,,,,,
SB21B,C00838441,B4759F67674104F58816,,,ORG,AWMH REALTY,,,,,,121 N WASHINGTON ST,,ALEXANDRIA,VA,223143174,,,2024-11-14,750.00,,VENUE RENTAL,001,,,,,,,,,,,,,,,,,,,,
