form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00754051,B892962,,,PAC,"We Vote, We Win",,,,,,1630 S. Commerce St.,,Las Vegas,NV,89102,O2024,Not Applicable,2024-10-24,50000.00,,State PAC,011,,,,,,,,,,, ,,,,,,,,
SB29,C00754051,B890300,,,CCM,Local 25 UNITE HERE,,,,,,901 K Street NW Suite 200,,Washington,DC,20001,G2024,,2024-10-22,6601.43,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890304,,,CCM,UNITE HERE Local 26,,,,,,101 Station's Landing 4th Floor Ea,,Medford,MA,02155,G2024,,2024-10-22,2826.25,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890308,,,CCM,UNITE HERE Local 34,,,,,,425 College Street 2nd Floor,,New Haven,CT,06511,G2024,,2024-10-22,1563.14,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890312,,,CCM,UNITE HERE Local 35,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-22,398.66,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890316,,,CCM,UNITE HERE Local 54,,,,,,1014 Atlantic Avenue,,Atlantic City,NJ,08401,G2024,,2024-10-22,16228.83,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890320,,,CCM,UNITE HERE Local 217,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-10-22,4565.33,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890328,,,CCM,New England Joint Board UNITE HERE,,,,,,33 Harrison Avenue 8th Floor,,Boston,MA,02111,G2024,,2024-10-22,205.60,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890332,,,CCM,Local 75 Toronto Ontario,,,,,,200 Consumers Road Suite 406,,Toronto,ON,,G2024,,2024-10-22,1077.30,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890324,,,CCM,UNITE HERE Local 100,,,,,,275 7th Ave 16th Floor,,New York,NY,10001,G2024,,2024-10-22,935.34,,IE:Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B890296,,,CCM,Local 23 UNITE HERE,,,,,,275 7th Ave,,New York,NY,10001,G2024,,2024-10-22,18536.20,,IE: Canvasser salaries and benefits 10/22 - 11/5 supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
