form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00762062,SB21B.4766,,,ORG,Abundance Strategies,,,,,,1900 L St NW,,Washington,DC,20036,,,2024-08-28,235.55,,Travel and Operational Expenses Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4763,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras St.,Ste. 1170,New Orleans,LA,70112,,,2024-07-08,2.30,,Contribution Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4764,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras St.,Ste. 1170,New Orleans,LA,70112,,,2024-07-08,20.30,,Contribution Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4765,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras St.,Ste. 1170,New Orleans,LA,70112,,,2024-07-08,40.30,,Contribution Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4762,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras St.,Ste. 1170,New Orleans,LA,70112,,,2024-07-18,0.70,,Contribution Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4761,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras St.,Ste. 1170,New Orleans,LA,70112,,,2024-07-22,10.30,,Contribution Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4760,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras St.,Ste. 1170,New Orleans,LA,70112,,,2024-08-18,0.70,,Contribution Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4759,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras St.,Ste. 1170,New Orleans,LA,70112,,,2024-09-18,0.70,,Contribution Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4769,,,ORG,Eaton DC,,,,,,1201 K St NW,,Washington,DC,20005,,,2024-09-19,8716.32,,Event Space and Catering Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4690,,,ORG,Intuit Quickbooks,,,,,,2632 Marine Way,,Mountain View,CA,94043,,,2024-07-11,95.40,,Accounting Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4695,,,ORG,Intuit Quickbooks,,,,,,2632 Marine Way,,Mountain View,CA,94043,,,2024-08-12,95.40,,Accounting Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4699,,,ORG,Intuit Quickbooks,,,,,,2632 Marine Way,,Mountain View,CA,94043,,,2024-09-11,95.40,,Accounting Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4691,,,ORG,PNC Bank,,,,,,249 Fifth Ave,,Pittsburgh,PA,15222,,,2024-07-01,15.00,,Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00762062,SB21B.4697,,,ORG,PNC Bank,,,,,,249 Fifth Ave,,Pittsburgh,PA,15222,,,2024-08-01,15.00,,Service Fee,001,,,,,,,,,,,,,,,,,,,
