form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00830034,SB29.4492,,,ORG,Association of Western Employers,,,,,,30211 Avenida Banderas,Suite 200,Rancho Santa Margatia,CA,92688,,,2024-11-26,10000.00,,Contribution to non Federal association,011,,,,,,,,,,,,,,,,,,,
SB29,C00830034,SB29.4510,,,CCM,Briggs for Senate,,,,,,2235 Breakwater Drive,,Knoxville,TN,37922,G2024,,2024-12-11,1000.00,,Contribution to Non Federal Candidate - Tennessee,011,,Briggs for Senate,,Briggs,Richard,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4516,,,CCM,Campaign for Mark Pody,,,,,,113 S Cumberland St.,,Lebanon,TN,37087,G2024,,2024-12-11,750.00,,Contribution to Non Federal Candidate - Tennessee,011,,Campaign for Mark Pody,,Pody,Mark,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4563,,,CCM,Citizens for Real Leadership,,,,,,P.O. Box 901,,Jonesborough,TN,37659,G2024,,2024-12-11,500.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Citizens for Real Leadership,,Alexander,Rebecca,K,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4491,,,CCM,Committee to Elect Carolyn Hugley,,,,,,PO Box 6342,,Columbus,GA,31917,G2024,,2024-11-26,1000.00,,Contribution to non Federal candidate - georgia,011,,Committee to Elect Carolyn Hugley,,Hugley,Carolyn,,,,,GA,,,,,,,,,
SB29,C00830034,SB29.4571,,,CCM,Committee to Elect Esther Helton,,,,,,P.O. Box 9132,,East Ridge,TN,37412,G2024,,2024-12-11,500.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Committee to Elect Esther Helton,,Helton-Haynes,Esther,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4490,,,CCM,Committee to Elect Harold Jones,,,,,,437 Walker Street,,Augusta,GA,30901,G2024,,2024-11-26,1000.00,,Contribution to non Federal candidate - Georgia,011,,Committee to Elect Harold Jones,,Jones,Harold,,,,,GA,,,,,,,,,
SB29,C00830034,SB29.4565,,,CCM,Committee to Elect Jeff Burkhart,,,,,,324 Franklin Street,,Clarksville,TN,37040,G2024,,2024-12-11,500.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Committee to Elect Jeff Burkhart,,Burkhart,Jeff,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4537,,,CCM,Committee to Elect John Crawford,,,,,,1606 Forest View Drive,,Kingsport,TN,37660,G2024,,2024-12-11,1000.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Committee to Elect John Crawford,,Crawford,John,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4519,,,CCM,Ed Jackson for State Senate,,,,,,25 Wyndhurst,,Jackson,TN,38305,G2024,,2024-12-11,750.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Ed Jackson for State Senate,,Jackson,Ed,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4562,,,CCM,Friends of Dave Wright,,,,,,6930 Boruff Road,,Corryton,TN,37721,G2024,,2024-12-11,500.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Friends of Dave Wright,,Wright,Dave,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4567,,,CCM,Friends of Jay Reedy,,,,,,P.O. Box 116,,Erin,TN,37061,G2024,,2024-12-11,500.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Friends of Jay Reedy,,Reedy,Jay,D,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4522,,,PAC,JACK - PAC,,,,,,915 Lewisburg Pike,,Franklin,TN,37064,G2024,,2024-12-11,750.00,,Political Contribution to Non Federal PAC/Candidate - Tennessee,011,,,,Johnson,Jack,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4534,,,CCM,Jeff Yarbro for State Senate,,,,,,144 51st Avenue North,,Nashville,TN,37209,G2024,,2024-12-11,500.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Jeff Yarbro for State Senate,,Yarbro,Jeff,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4564,,,CCM,Jerome Moon for State House,,,,,,1804 Murphy Myers Road,,Maryville,TN,37803,G2024,,2024-12-11,1000.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Jerome Moon for State House,,Moon,Jerome,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4528,,,CCM,John Stevens for Senate,,,,,,161 Court Square,,Huntingdon,TN,38344,G2024,,2024-12-11,750.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,John Stevens for Senate,,Stevens,John,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4566,,,CCM,Kevin Raper for State Representative,,,,,,3440 Edgewood Cir. NW,,Cleveland,TN,37312,G2024,,2024-12-11,500.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Kevin Raper for State Representative,,Raper,Kevin,D,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4531,,,PAC,KEYPAC,,,,,,P.O. Box 684,,Kingston,TN,37763,G2024,,2024-12-11,750.00,,Political Contirubition to Non Federal PAC/Candidate - Tennessee,011,,,,Yager,Ken,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4572,,,CCM,Lamberth PAC,,,,,,P.O. Box 821,,Portland,TN,37148,G2024,,2024-12-11,500.00,,Political Contribution to Non Federal PAC/Candidate - Tennessee,011,,Lamberth PAC,,Lamberth,William,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4525,,,CCM,Lowe for Senate,,,,,,109 County Road 8,,Calhoun,TN,37309,G2024,,2024-12-11,750.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Lowe for Senate,,Lowe,Adam,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4573,,,CCM,Mark Cochran for State Representative,,,,,,P.O. Box 466,,Englewood,TN,37329,G2024,,2024-12-11,1000.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Mark Cochran for State Representative,,Cochran,Mark,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4570,,,CCM,Michael Hale for State Representative,,,,,,P.O. Box 634,,Smithville,TN,37166,G2024,,2024-12-11,500.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Michael Hale for State Representative,,Hale,Michael,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4513,,,CCM,Page Walley for Senate,,,,,,413-C Main Street,,Savannah,TN,38372,G2024,,2024-12-11,1000.00,,Contribution to Non Federal Candidate - Tennessee,011,,Page Walley for Senate,,Walley,Page,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4569,,,CCM,Robert Stevens for State Representative,,,,,,137 Laurel Hill Drive,,Smyrna,TN,37167,G2024,,2024-12-11,500.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Robert Stevens for State Representative,,Stevens,Robert,,,,,TN,,,,,,,,,
SB29,C00830034,SB29.4568,,,CCM,Tim Rudd for State Representative,,,,,,2904 Islington Drive,,Murfreesboro,TN,37128,G2024,,2024-12-11,500.00,,Political Contribution to Non Federal Candidate - Tennessee,011,,Tim Rudd for State Representative,,Rudd,Tim,,,,,TN,,,,,,,,,
