form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00489799,500694074,,,PAC,Battleground New York,,,,,,PO Box 15845,,Washington,DC,200030845,,,2024-10-25,20000.00,0.00,Contribution,,C00859355,Battleground New York,,,,,,,,,,,,,,,,,
SB23,C00489799,500694188,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-18,2299.38,0.00,In-Kind for Non-Federal Staff Time and Travel Expenses,,C00663724,Planned Parenthood Votes Ohio,,,,,,,,,,,,,,,,,
SB23,C00489799,500694190,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-26,123.18,0.00,In-Kind for List Rental,,C00663724,Planned Parenthood Votes Ohio,,,,,,,,,,,,,,,,,
SB23,C00489799,500694162,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-31,424.23,0.00,In-Kind for List Rental,,C00568931,MI Planned Parenthood Votes,,,,,,,,,,,,,,,,,
SB23,C00489799,500694168,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-31,933.86,0.00,In-Kind for Staff Time,,C00685289,Nevada Advocates for Planned Parenthood Affiliates PAC (NAPPA PAC),,,,,,,,,,,,,,,,,
SB23,C00489799,500694169,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-31,1334.24,0.00,In-Kind for Non-Federal Staff Time,,C00685289,Nevada Advocates for Planned Parenthood Affiliates PAC (NAPPA PAC),,,,,,,,,,,,,,,,,
SB23,C00489799,500694192,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-31,361.72,0.00,In-Kind for List Rental,,C00663724,Planned Parenthood Votes Ohio,,,,,,,,,,,,,,,,,
SB23,C00489799,500694193,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-31,268.57,0.00,In-Kind for List Rental,,C00887182,Planned Parenthood Votes North Carolina,,,,,,,,,,,,,,,,,
SB23,C00489799,500694176,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-01,258.14,0.00,In-Kind for Staff Time,,C00742080,"Planned Parenthood Alliance PAC , Serving WA, AK, ID, HI, IN, KY",,,,,,,,,,,,,,,,,
SB23,C00489799,500694200,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-03,299.60,0.00,In-Kind for Staff Time,,C00746107,ProgressNow AZ - Federal,,,,,,,,,,,,,,,,,
SB23,C00489799,500694202,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-03,149.60,0.00,In-Kind for Staff Time,,C00869321,Victory PAC,,,,,,,,,,,,,,,,,
