form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00813170,SB21B.4516,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-12-16,2644.12,,Credit Card Payment: see below if itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4516.1,SB21B.4516,SB21B,ORG,St Anselm,,,,,,1250 5th St NE,,Washington,DC,20002,,,2024-12-16,131.10,,Event Catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4516.12,SB21B.4516,SB21B,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,60601,,,2024-12-01,553.48,,Travel - Airefare,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4516.13,SB21B.4516,SB21B,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,60601,,,2024-12-05,717.50,,Travel - Airfare,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4518,,,ORG,Bar Charley,,,,,,1825 18 Street Northwest,,Washington,DC,20009,,,2024-12-19,277.30,,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4532,,,ORG,Frontier Airlines,,,,,,4545 Airport Way,,Denver,CO,80239,,,2024-12-19,299.00,,Travel - Air Fare,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4542,,,ORG,Lyft,,,,,,185 Berry Street,#5000,San Francisco,CA,94107,,,2024-12-09,57.99,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4539,,,ORG,Lyft,,,,,,185 Berry Street,#5000,San Francisco,CA,94107,,,2024-12-13,44.94,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4543,,,ORG,Lyft,,,,,,185 Berry Street,#5000,San Francisco,CA,94107,,,2024-12-16,60.72,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4540,,,ORG,Lyft,,,,,,185 Berry Street,#5000,San Francisco,CA,94107,,,2024-12-26,53.11,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4541,,,ORG,Lyft,,,,,,185 Berry Street,#5000,San Francisco,CA,94107,,,2024-12-30,56.80,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4549,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-12-10,12.31,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4550,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-12-16,12.91,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4553,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-12-17,43.99,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4554,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-12-17,54.95,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4551,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-12-23,17.90,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4552,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-12-30,29.98,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4548,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-12-31,8.95,,Travel - Car Service,,,,,,,,,,,,,,,,,,,,
