form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00756569,500691437,,,ORG,"Higher Wages, Lower Rent Alliance",,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,G2024,,2024-10-04,10917.83,2024-10-04,10917.83,Campaign expenses,,,S,H8CA45148,MIN,DAVID,,,,H,47,CA,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691356,,,ORG,J & R Graphics and Printing,,,,,,638 W Indian School Rd,,Phoenix,AZ,850133136,G2024,,2024-10-11,2088.65,2024-10-11,425505.21,Walk Literature,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691357,,,ORG,J & R Graphics and Printing,,,,,,638 W Indian School Rd,,Phoenix,AZ,850133136,G2024,,2024-10-11,2088.65,2024-10-11,418245.61,Walk Literature,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691498,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-01,816.07,2024-10-01,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691499,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-01,816.07,2024-10-01,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691500,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-01,157.53,2024-10-01,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691501,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-01,157.53,2024-10-01,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691502,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-01,153.67,2024-10-01,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691503,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-01,153.67,2024-10-01,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691504,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-01,153.69,2024-10-01,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691505,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-01,153.69,2024-10-01,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
