form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00571588,SB21B.23471,,,ORG,American Express,,,,,,PO Box 0001,,Los Angeles,CA,900968000,,,2024-12-24,5168.00,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23471.0,SB21B.23471,SB21B,ORG,LexisNexis,,,,,,28544 Network Place,,Chicago,IL,60673,,,2024-11-13,2584.00,,Research Services,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00571588,SB21B.23471.1,SB21B.23471,SB21B,ORG,LexisNexis,,,,,,28544 Network Place,,Chicago,IL,60673,,,2024-12-03,2584.00,,Research Services,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00571588,SB21B.23465,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-12-20,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23467,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-12-27,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23468,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-12-30,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23470,,,ORG,Langdon Law LLC,,,,,,8913 Cincinnati-Dayton Rd.,,West Chester,OH,45069,,,2024-12-06,7397.50,,Legal Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23502,,,ORG,Restoration of America,,,,,,1901 Butterfield Road,Suite 920,Downers Grove,IL,60515,,,2024-12-27,553.60,,Web and data services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23505,,,ORG,Restoration of America,,,,,,1901 Butterfield Road,Suite 920,Downers Grove,IL,60515,,,2024-12-27,86.17,,Web and data services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23506,,,ORG,Restoration of America,,,,,,1901 Butterfield Road,Suite 920,Downers Grove,IL,60515,,,2024-12-27,103.00,,Web and data services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23503,,,ORG,ServisFirst Bank,,,,,,2500 Woodcrest Place,,Birmingham,AL,35209,,,2024-12-31,100.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23469,,,ORG,SmartGate Corporation,,,,,,15 East Madison St.,,Lombard,IL,60148,,,2024-11-29,442.32,,Website Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23475,,,ORG,SmartGate Corporation,,,,,,15 East Madison St.,,Lombard,IL,60148,,,2024-12-27,442.32,,Website Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23487,,,ORG,"Stripe, Inc.",,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-11-27,0.71,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23488,,,ORG,"Stripe, Inc.",,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-11-29,0.42,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23489,,,ORG,"Stripe, Inc.",,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-12-02,1.10,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23490,,,ORG,"Stripe, Inc.",,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-12-06,1.00,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23491,,,ORG,"Stripe, Inc.",,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-12-13,4.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23492,,,ORG,"Stripe, Inc.",,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-12-23,0.70,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23493,,,ORG,"Stripe, Inc.",,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-12-26,0.71,,Platform fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23494,,,ORG,"Stripe, Inc.",,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-12-30,0.42,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00571588,SB21B.23495,,,ORG,"Stripe, Inc.",,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-12-31,1.10,,Platform fees,001,,,,,,,,,,,,,,,,,,,
