form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00471540,500189961,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-18,4268.36,0.00,In-kind: staff time/grassroots organizing,011,C00834028,,,WHITESIDES,GEORGE,,,,H,CA,27,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189286,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-19,4649.40,0.00,In-kind: staff time/grassroots organizing,011,C00794727,,,FOUSHEE,VALERIE,,,,H,NC,04,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500191790,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-21,4994.96,0.00,In-kind: staff time/grassroots organizing,011,C00855486,,,SCHAFFNER,KATRINA,,,,H,AZ,05,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500190380,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-22,3370.27,0.00,In-kind: staff time/grassroots organizing,011,C00807628,,,MOSKOWITZ,JARED,,,,H,FL,23,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500190381,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-22,4155.91,0.00,In-kind: staff time/grassroots organizing,011,C00848648,,,MUCARSEL-POWELL,DEBBIE,,,,S,FL,00,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500191849,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-22,2282.56,0.00,In-kind: staff time/grassroots organizing,011,C00852368,,,STELSON,JANELLE,,,,H,PA,10,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500190030,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-23,4519.18,0.00,In-kind: staff time/grassroots organizing,011,C00854307,,,FOX,WHITNEY,,,,H,FL,13,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500194269,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-25,1814.05,0.00,In-kind: staff time/grassroots organizing,011,C00789404,,,VASQUEZ,GABRIEL,,,,H,NM,02,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500194270,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-25,1814.05,0.00,In-kind: staff time/grassroots organizing,011,C00434563,,,HEINRICH,MARTIN,,,,S,NM,01,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500194275,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-26,2032.84,0.00,In-kind: staff time/grassroots organizing,011,C00669358,,,SCANLON,MARY,GAY,,,H,PA,05,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500190383,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-28,2565.46,0.00,In-kind: staff time/grassroots organizing,011,C00729277,,,ROSS,DEBORAH,,,,H,NC,02,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500192927,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-28,2527.70,0.00,In-kind: staff time/grassroots organizing,011,C00638650,,,STEVENS,HALEY,,,,H,MI,11,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500194276,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-29,4992.18,0.00,In-kind: staff time/grassroots organizing,011,C00787648,,,DELUZIO,CHRISTOPHER,,,,H,PA,17,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500191865,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-11-01,3322.21,0.00,In-kind: staff time/grassroots organizing,011,C00791780,,,LEE,SUMMER,,,,H,PA,12,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500193182,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-11-01,100.00,0.00,In-kind: staff time/grassroots organizing,011,C00836502,,,SHAH,AMISH,DR.,,,H,AZ,01,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500193631,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-11-01,643.35,0.00,In-kind: staff time/grassroots organizing,011,C00807727,,,MARLINGA,CARL,J.,,,H,MI,10,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500195559,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-11-01,167.27,0.00,In-kind: staff time/grassroots organizing,011,C00326801,,,BALDWIN,TAMMY,,,,S,WI,,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500195565,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-11-01,100.00,0.00,In-kind: staff time/grassroots organizing,011,C00558627,,,GALLEGO,RUBEN,,,,S,AZ,,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500195534,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-11-02,80.00,0.00,In-kind: staff time/grassroots organizing,011,C00840017,,,ALSOBROOKS,ANGELA,,,,S,MD,00,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500195536,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-11-02,860.14,0.00,In-kind: staff time/grassroots organizing,011,C00844993,,,COOKE,REBECCA,,,,H,WI,03,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500195558,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-11-02,1185.85,0.00,In-kind: staff time/grassroots organizing,011,C00397505,,,MOORE,GWEN,S,,,H,WI,04,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500195689,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-11-02,420.42,0.00,In-kind: staff time/grassroots organizing,011,C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,,,,,,,,,,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500195687,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-11-04,766.96,0.00,In-kind: staff time/grassroots organizing,011,C00591065,,,EVANS,DWIGHT,,,,H,PA,03,,,,,,,,"(See Schedule B, Line 21b)"
