form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00844613,SB21B.5431,,,ORG,Battleground Connect,,,,,,350 Ryman St.,Ste. 380,Missoula,MT,59802,,,2024-07-29,1004.16,,Text Messaging,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5433,,,ORG,BLUEBONNET FUNDRAISING LLC,,,,,,650-1151 3300 BEE CAVES RD,,AUSTIN,TX,78746,,,2024-09-26,68700.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5434,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-07-12,20000.00,,Advance for future expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4810,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-07-20,-1267.32,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4820,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-07-22,-288.78,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4821,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-07-22,-77.63,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4822,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-07-22,-77.63,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4780,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-07-24,-290.43,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4789,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-07-29,-100.73,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4832,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-07-29,-210.06,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4833,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-07-29,-9.50,,pull from avance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4834,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-07-29,-9.50,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4838,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-07-31,-98.63,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
