form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00770941,SB21B.1040509,,,ORG,AUTHORIZE.NET,,,,,,P.O. BOX 8999,,SAN FRANCISCO,CA,94128,,,2024-12-03,30.30,,MERCHANT FEES
SB21B,C00770941,SB21B.1040814,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-04,0.78,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1041214,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-06,1.42,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1041681,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-11,0.78,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1042397,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-17,14.53,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1042665,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-18,15.80,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1042814,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-19,3.50,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1039925,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-11-27,21.66,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1040399,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-11-29,0.75,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1040336,,,ORG,HEARTLAND,,,,,,ONE HEARTLAND WAY,,JEFFERSONVILLE,IN,47130,,,2024-12-02,735.92,,MERCHANT FEES
SB21B,C00770941,SB21B.1040405,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-02,8.13,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1040558,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-03,19.12,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1040815,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-04,27.17,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1041060,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-05,2.69,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1041217,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-06,5.63,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1041367,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-09,7.52,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1041579,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-10,7.49,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1041683,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-11,30.13,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1041848,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-12,5.97,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1042078,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-13,3.53,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1042225,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-16,7.90,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1042396,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-17,13.56,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1042669,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-18,22.64,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1042815,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-19,13.56,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1042952,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-20,13.93,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1043100,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-23,11.73,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1043258,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-24,8.78,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1043346,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-27,18.88,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1043347,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-27,10.54,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1043591,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-30,6.49,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1039685,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-11-26,4.76,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1039926,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-11-27,26.38,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1040400,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-11-29,0.72,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1043849,,,ORG,"LAUNCHPAD STRATEGIES, LLC",,,,,,PO BOX 80323,,RALEIGH,NC,27623,,,2024-12-31,7.17,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1040811,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-04,21.00,,MERCHANDISE FEES
SB21B,C00770941,SB21B.1039923,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-27,7.00,,MERCHANDISE FEES
SB21B,C00770941,SB21B.1040404,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-02,3293.14,,MERCHANT FEES
SB21B,C00770941,SB21B.1040533,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-03,5302.30,,MERCHANT FEES
SB21B,C00770941,SB21B.1040809,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-04,9351.09,,MERCHANT FEES
SB21B,C00770941,SB21B.1041058,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-05,2558.40,,MERCHANT FEES
SB21B,C00770941,SB21B.1041211,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-06,2997.08,,MERCHANT FEES
SB21B,C00770941,SB21B.1041364,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-09,4228.86,,MERCHANT FEES
SB21B,C00770941,SB21B.1041578,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-10,2620.67,,MERCHANT FEES
SB21B,C00770941,SB21B.1041674,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-11,6696.42,,MERCHANT FEES
SB21B,C00770941,SB21B.1041847,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-12,2343.29,,MERCHANT FEES
SB21B,C00770941,SB21B.1042076,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-13,2703.00,,MERCHANT FEES
SB21B,C00770941,SB21B.1042224,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-16,3828.46,,MERCHANT FEES
SB21B,C00770941,SB21B.1042394,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-17,1996.07,,MERCHANT FEES
SB21B,C00770941,SB21B.1042662,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-18,6606.84,,MERCHANT FEES
SB21B,C00770941,SB21B.1042802,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-19,2837.19,,MERCHANT FEES
SB21B,C00770941,SB21B.1042951,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-20,2848.07,,MERCHANT FEES
SB21B,C00770941,SB21B.1043098,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-23,3747.77,,MERCHANT FEES
SB21B,C00770941,SB21B.1043255,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-24,2846.45,,MERCHANT FEES
SB21B,C00770941,SB21B.1043344,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-26,8928.45,,MERCHANT FEES
SB21B,C00770941,SB21B.1043349,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-27,2647.56,,MERCHANT FEES
SB21B,C00770941,SB21B.1043587,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-30,5417.60,,MERCHANT FEES
SB21B,C00770941,SB21B.1039682,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-26,3685.76,,MERCHANT FEES
SB21B,C00770941,SB21B.1039921,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-27,10113.95,,MERCHANT FEES
SB21B,C00770941,SB21B.1040398,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-29,4356.32,,MERCHANT FEES
SB21B,C00770941,SB21B.1043847,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-31,2157.82,,MERCHANT FEES
