form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00839407,500000103,,,ORG,ActBlue Technical Services,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-12-31,654.17,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000104,,,IND,,Black,Don,,,,PO Box 132,,Downers Grove,IL,605150132,,,2024-12-06,687.00,0.00,List Purchase,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000075,,,ORG,Blue Action Inc,,,,,,4209 Dandridge Ter,,Alexandria,VA,223092806,,,2024-12-04,1000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000109,,,ORG,Blue Action Inc,,,,,,4209 Dandridge Ter,,Alexandria,VA,223092806,,,2024-12-04,4000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000072,,,ORG,Blue Action Inc,,,,,,4209 Dandridge Ter,,Alexandria,VA,223092806,,,2024-12-05,2700.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000074,,,ORG,Blue Action Inc,,,,,,4209 Dandridge Ter,,Alexandria,VA,223092806,,,2024-12-06,1500.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000067,,,ORG,Blue Action Inc,,,,,,4209 Dandridge Ter,,Alexandria,VA,223092806,,,2024-12-15,8000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000110,,,ORG,Blue Action Inc,,,,,,4209 Dandridge Ter,,Alexandria,VA,223092806,,,2024-12-18,3500.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000068,,,ORG,Blue Action Inc,,,,,,4209 Dandridge Ter,,Alexandria,VA,223092806,,,2024-12-21,8000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000070,,,ORG,Blue Action Inc,,,,,,4209 Dandridge Ter,,Alexandria,VA,223092806,,,2024-12-22,6500.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000069,,,ORG,Blue Action Inc,,,,,,4209 Dandridge Ter,,Alexandria,VA,223092806,,,2024-12-25,7750.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000071,,,ORG,Blue Action Inc,,,,,,4209 Dandridge Ter,,Alexandria,VA,223092806,,,2024-12-30,6500.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000073,,,ORG,Blue Action Inc,,,,,,4209 Dandridge Ter,,Alexandria,VA,223092806,,,2024-12-31,2000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000101,,,IND,,Bornstein,Jared,,,,1 City Ctr,,Portland,ME,041016420,,,2024-12-28,2500.00,0.00,Field Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000106,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-11-26,15000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000125,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-11-26,45000.00,0.00,Operating Costs and Overhead,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000108,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-02,4123.96,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000090,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-03,6000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000092,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-15,16433.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000089,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-16,5844.99,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000091,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-17,6000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000124,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-18,90000.00,0.00,Operating Costs and Overhead,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000076,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-21,3517.50,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000077,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-21,1549.50,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000094,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-26,15000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000105,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-26,22500.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000095,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-28,15000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000093,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-30,5000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000123,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-12-31,36000.00,0.00,Operating Costs and Overhead,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000078,,,ORG,Grassroots Analytics,,,,,,806 7Th St NW,,Washington,DC,200013868,,,2024-12-02,3000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000079,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2024-12-12,3537.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000111,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2024-12-31,2875.50,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000112,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2024-12-31,2175.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000115,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2024-12-31,963.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000117,,,ORG,LinkedIn,,,,,,W MAUDE Ave,,Sunnyvale,CA,94085,,,2024-12-13,169.99,0.00,Job Posting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000116,,,ORG,LinkedIn,,,,,,W MAUDE Ave,,Sunnyvale,CA,94085,,,2024-12-19,383.84,0.00,Job Posting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000081,,,ORG,Message Digital,,,,,,2054 University Ave,Ste 600,Berkeley,CA,947041076,,,2024-12-04,10000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000082,,,ORG,Message Digital,,,,,,2054 University Ave,Ste 600,Berkeley,CA,947041076,,,2024-12-12,10000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000080,,,ORG,Message Digital,,,,,,2054 University Ave,Ste 600,Berkeley,CA,947041076,,,2024-12-16,30000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000083,,,ORG,NGP VAN,,,,,,655 15Th St NW,,Washington,DC,200055701,,,2024-12-03,1181.90,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000114,,,ORG,NGP VAN,,,,,,655 15Th St NW,,Washington,DC,200055701,,,2024-12-03,1181.90,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000084,,,ORG,NGP VAN,,,,,,655 15Th St NW,,Washington,DC,200055701,,,2024-12-04,1181.90,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000088,,,ORG,North Shore Strategies,,,,,,500 Fashion Ave,,New York,NY,100184502,,,2024-12-02,4000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000087,,,ORG,North Shore Strategies,,,,,,500 Fashion Ave,,New York,NY,100184502,,,2024-12-18,7000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000085,,,ORG,North Shore Strategies,,,,,,500 Fashion Ave,,New York,NY,100184502,,,2024-12-25,21875.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000086,,,ORG,North Shore Strategies,,,,,,500 Fashion Ave,,New York,NY,100184502,,,2024-12-30,10500.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000107,,,ORG,PM Tax And Accounting,,,,,,300 Irving Ave,,Brooklyn,NY,112375742,,,2024-12-20,5000.00,0.00,Tax Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000126,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2024-12-02,63468.92,0.00,Phonebanking and Text Banking,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000113,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2024-12-06,1875.43,0.00,Phonebanking and Text Banking,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000098,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2024-12-12,53573.92,0.00,Phonebanking and Text Banking,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000100,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2024-12-18,11624.61,0.00,Phonebanking and Text Banking,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000099,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2024-12-30,30785.76,0.00,Phonebanking and Text Banking,,,,,,,,,,,,,,,,,,,,
